Demographic information
16 Bulloch,352,.74%,90.49%,37,1.00%,9.51%,389  .75%
17 Burke,200,.42%,96.62%,7,.19%,3.38%,207  .40%
18 Butts,140,.29%,93.33%,10,.27%,6.67%,150  .29%
19 Calhoun,43,.09%,93.48%,3,.08%,6.52%,46  .09%
20 Camden,117,.24%,92.86%,9,.24%,7.14%,126  .24%
21 Candler,93,.19%,93.00%,7,.19%,7.00%,100  .19%
22 Carroll,528,1.10%,88.59%,68,1.85%,11.41%,596  1.16%
23 Catoosa,212,.44%,88.33%,28,.76%,11.67%,240  .47%
24 Charlton,41,.09%,95.35%,2,.05%,4.65%,43  .08%
25 Chatham,"2,297",4.80%,95.43%,109,2.96%,4.53%,"2,407  4.67%"
26 Chattahoochee,28,.06%,93.33%,2,.05%,6.67%,30  .06%
27 Chattooga,225,.47%,91.09%,22,.60%,8.91%,247  .48%
28 Cherokee,424,.89%,88.15%,57,1.55%,11.85%,481  .93%
29 Clarke,432,.90%,94.12%,27,.73%,5.88%,459  .89%
30 Clay,26,.05%,86.67%,4,.11%,13.33%,30  .06%
31 Clayton,"1,328",2.77%,93.00%,100,2.71%,7.00%,"1,428  2.77%"
32 Clinch,58,.12%,96.67%,2,.05%,3.33%,60  .12%
33 Cobb,"2,237",4.67%,92.02%,193,5.24%,7.94%,"2,431  4.72%"
34 Coffee,248,.52%,91.18%,24,.65%,8.82%,272  .53%
35 Colquitt,289,.60%,94.75%,16,.43%,5.25%,305  .59%
36 Columbia,211,.44%,91.34%,20,.54%,8.66%,231  .45%
37 Cook,128,.27%,93.43%,9,.24%,6.57%,137  .27%
38 Coweta,417,.87%,90.65%,43,1.17%,9.35%,460  .89%
"",,Male,,,Female,,Total
Home County,Count,Col %,Row %,Count,Col %,Row %,Total Col %
39 Crawford,22,.05%,81.48%,5,.14%,18.52%,27  .05%
40 Crisp,242,.51%,92.37%,20,.54%,7.63%,262  .51%
41 Dade,75,.16%,92.59%,6,.16%,7.41%,81  .16%
42 Dawson,91,.19%,93.81%,6,.16%,6.19%,97  .19%
43 Decatur,318,.66%,94.36%,19,.52%,5.64%,337  .65%
44 Dekalb,"2,765",5.78%,93.73%,185,5.02%,6.27%,"2,950  5.72%"
45 Dodge,148,.31%,89.16%,18,.49%,10.84%,166  .32%
46 Dooly,88,.18%,92.63%,7,.19%,7.37%,95  .18%
47 Dougherty,963,2.01%,94.13%,60,1.63%,5.87%,"1,023  1.98%"
48 Douglas,630,1.32%,91.04%,62,1.68%,8.96%,692  1.34%
49 Early,74,.15%,96.10%,3,.08%,3.90%,77  .15%
50 Echols,13,.03%,86.67%,2,.05%,13.33%,15  .03%
51 Effingham,161,.34%,95.27%,8,.22%,4.73%,169  .33%
52 Elbert,151,.32%,94.97%,8,.22%,5.03%,159  .31%
53 Emanuel,148,.31%,92.50%,12,.33%,7.50%,160  .31%
54 Evans,88,.18%,95.65%,4,.11%,4.35%,92  .18%
55 Fannin,84,.18%,92.31%,7,.19%,7.69%,91  .18%
56 Fayette,165,.34%,91.67%,15,.41%,8.33%,180  .35%
57 Floyd,749,1.57%,89.70%,86,2.33%,10.30%,835  1.62%
58 Forsyth,201,.42%,87.01%,30,.81%,12.99%,231  .45%
59 Franklin,128,.27%,93.43%,9,.24%,6.57%,137  .27%
60 Fulton,"5,685",11.88%,94.97%,301,8.17%,5.03%,"5,986  11.61%"
61 Gilmer,109,.23%,93.16%,8,.22%,6.84%,117  .23%
62 Glascock,9,.02%,100.00%,,,,9  .02%
63 Glynn,358,.75%,94.96%,19,.52%,5.04%,377  .73%
64 Gordon,258,.54%,89.58%,30,.81%,10.42%,288  .56%
65 Grady,180,.38%,96.26%,7,.19%,3.74%,187  .36%
66 Greene,112,.23%,94.12%,7,.19%,5.88%,119  .23%
67 Gwinnett,"1,684",3.52%,92.07%,145,3.94%,7.93%,"1,829  3.55%"
68 Habersham,122,.25%,95.31%,6,.16%,4.69%,128  .25%
69 Hall,666,1.39%,91.23%,64,1.74%,8.77%,730  1.42%
70 Hancock,63,.13%,96.92%,2,.05%,3.08%,65  .13%
71 Haralson,121,.25%,93.08%,9,.24%,6.92%,130  .25%
72 Harris,95,.20%,91.35%,9,.24%,8.65%,104  .20%
73 Hart,118,.25%,95.16%,6,.16%,4.84%,124  .24%
74 Heard,71,.15%,88.75%,9,.24%,11.25%,80  .16%
75 Henry,489,1.02%,88.91%,61,1.66%,11.09%,550  1.07%
76 Houston,542,1.13%,93.29%,39,1.06%,6.71%,581  1.13%
"",,Male,,,Female,,Total
Home County,Count,Col %,Row %,Count,Col %,Row %,Total Col %
77 Irwin,74,.15%,96.10%,3,.08%,3.90%,77  .15%
78 Jackson,186,.39%,94.90%,10,.27%,5.10%,196  .38%
79 Jasper,71,.15%,95.95%,3,.08%,4.05%,74  .14%
80 Jeff Davis,86,.18%,93.48%,6,.16%,6.52%,92  .18%
81 Jefferson,142,.30%,97.26%,4,.11%,2.74%,146  .28%
82 Jenkins,80,.17%,95.24%,4,.11%,4.76%,84  .16%
83 Johnson,44,.09%,89.80%,5,.14%,10.20%,49  .10%
84 Jones,96,.20%,95.05%,5,.14%,4.95%,101  .20%
85 Lamar,62,.13%,95.38%,3,.08%,4.62%,65  .13%
86 Lanier,43,.09%,95.56%,2,.05%,4.44%,45  .09%
87 Laurens,328,.69%,92.66%,26,.71%,7.34%,354  .69%
88 Lee,74,.15%,91.36%,7,.19%,8.64%,81  .16%
89 Liberty,285,.60%,93.14%,21,.57%,6.86%,306  .59%
90 Lincoln,35,.07%,92.11%,3,.08%,7.89%,38  .07%
91 Long,45,.09%,86.54%,7,.19%,13.46%,52  .10%
92 Lowndes,487,1.02%,92.59%,39,1.06%,7.41%,526  1.02%
93 Lumpkin,89,.19%,89.00%,11,.30%,11.00%,100  .19%
94 Macon,90,.19%,95.74%,4,.11%,4.26%,94  .18%
95 Madison,114,.24%,91.20%,11,.30%,8.80%,125  .24%
96 Marion,42,.09%,93.33%,3,.08%,6.67%,45  .09%
