report,teens_male_pop,teens_female_pop,teens_pop,twenties_male_pop,twenties_female_pop,twenties_pop,thirties_male_pop,thirties_female_pop,thirties_pop,forties_male_pop,forties_female_pop,forties_pop,fifties_male_pop,fifties_female_pop,fifties_pop,sixties_male_pop,sixties_female_pop,sixties_pop,70_plus_male_pop,70_plus_female_pop,70_plus_pop,current_age_reported_male,current_age_reported_female,current_age_reported,current_age_not_reported_male,current_age_not_reported_female,current_age_not_reported,total_male_pop,total_female_pop,total_pop,50_plus_yoa,50_plus_yoa_p
2017-12,746,28,774,14126,992,15118,15336,1359,16695,10355,860,11215,6895,448,7343,2388,102,2490,653,19,672,50499,3808,54307,220,0,220,50719,3808,54527,10505,19.34%
2018-01,725,31,756,13977,997,14974,15213,1347,16560,10272,852,11124,6894,438,7332,2405,104,2509,652,18,670,50138,3787,53925,221,0,221,50359,3787,54146,10511,19.49%
2018-02,744,36,780,13951,999,14950,15232,1363,16595,10317,858,11175,6891,445,7336,2418,101,2519,660,19,679,50213,3821,54034,223,0,223,50436,3821,54257,10534,19.50%
2018-03,787,34,821,14088,1024,15112,15361,1392,16753,10428,876,11304,6943,462,7405,2442,102,2544,663,19,682,50712,3909,54621,225,1,226,50937,3910,54847,10631,19.46%
2018-04,788,37,825,14067,1008,15075,15363,1411,16774,10378,881,11259,6950,460,7410,2460,104,2564,661,19,680,50667,3920,54587,227,1,228,50894,3921,54815,10654,19.52%
2018-05,801,36,837,14132,1035,15167,15405,1413,16818,10393,875,11268,6976,464,7440,2490,105,2595,654,18,672,50851,3946,54797,228,1,229,51079,3947,55026,10707,19.54%
2018-06,791,34,825,14053,1031,15084,15380,1412,16792,10468,869,11337,7012,466,7478,2477,109,2586,638,18,656,50819,3939,54758,255,1,256,51074,3940,55014,10720,19.58%
2018-07,763,35,798,13928,1017,14945,15398,1414,16812,10470,871,11341,7016,471,7487,2460,101,2561,639,19,658,50674,3928,54602,257,1,258,50931,3929,54860,10706,19.61%
2018-08,747,33,780,13847,1013,14860,15366,1424,16790,10520,880,11400,6993,459,7452,2475,102,2577,628,19,647,50576,3930,54506,257,1,258,50833,3931,54764,10676,19.59%
2018-09,741,34,775,13862,1012,14874,15327,1415,16742,10555,884,11439,6984,447,7431,2484,108,2592,634,19,653,50587,3919,54506,258,1,259,50845,3920,54765,10676,19.59%
2018-10,734,38,772,13817,1012,14829,15387,1409,16796,10605,876,11481,7010,453,7463,2485,107,2592,642,21,663,50680,3916,54596,263,1,264,50943,3917,54860,10718,19.63%
2018-11,722,39,761,13768,1011,14779,15432,1420,16852,10593,873,11466,7023,457,7480,2501,111,2612,645,21,666,50684,3932,54616,264,1,265,50948,3933,54881,10758,19.70%
2018-12,706,44,750,13759,1016,14775,15423,1396,16819,10609,884,11493,7019,451,7470,2509,118,2627,648,23,671,50673,3932,54605,264,1,265,50937,3933,54870,10768,19.72%
2019-01,685,42,727,13723,1016,14739,15347,1377,16724,10577,876,11453,7005,456,7461,2539,121,2660,650,23,673,50526,3911,54437,266,1,267,50792,3912,54704,10794,19.83%
2019-02,683,41,724,13738,1012,14750,15343,1411,16754,10669,876,11545,7007,457,7464,2540,119,2659,654,22,676,50634,3938,54572,267,1,268,50901,3939,54840,10799,19.79%
2019-03,680,37,717,13723,1011,14734,15468,1413,16881,10692,886,11578,7032,460,7492,2544,120,2664,645,21,666,50784,3948,54732,270,1,271,51054,3949,55003,10822,19.77%
2019-04,676,35,711,13682,1012,14694,15485,1410,16895,10777,879,11656,7021,464,7485,2551,118,2669,645,22,667,50837,3940,54777,272,1,273,51109,3941,55050,10821,19.75%
2019-05,663,40,703,13598,1023,14621,15538,1440,16978,10807,874,11681,7040,463,7503,2559,121,2680,647,21,668,50852,3982,54834,272,1,273,51124,3983,55107,10851,19.79%
2019-06,655,38,693,13535,1012,14547,15489,1442,16931,10838,877,11715,7022,463,7485,2593,122,2715,649,22,671,50781,3976,54757,289,1,290,51070,3977,55047,10871,19.85%
2019-07,659,36,695,13549,1009,14558,15577,1443,17020,10881,894,11775,7024,457,7481,2626,127,2753,653,21,674,50969,3987,54956,289,1,290,51258,3988,55246,10908,19.85%
2019-08,633,38,671,13433,1019,14452,15552,1448,17000,10865,904,11769,6989,465,7454,2647,130,2777,660,22,682,50779,4026,54805,290,1,291,51069,4027,55096,10913,19.91%
2019-09,654,36,690,13468,1019,14487,15649,1447,17096,10945,911,11856,7020,457,7477,2678,130,2808,672,23,695,51086,4023,55109,290,1,291,51376,4024,55400,10980,19.92%
2019-10,679,36,715,13473,1024,14497,15738,1455,17193,10987,905,11892,7055,482,7537,2680,130,2810,678,23,701,51290,4055,55345,292,1,293,51582,4056,55638,11048,19.96%
2019-11,682,36,718,13475,1014,14489,15780,1464,17244,11092,909,12001,7064,485,7549,2698,129,2827,688,23,711,51479,4060,55539,294,1,295,51773,4061,55834,11087,19.96%
2019-12,673,33,706,13354,997,14351,15672,1458,17130,11092,915,12007,7028,480,7508,2714,131,2845,692,22,714,51225,4036,55261,294,1,295,51519,4037,55556,11067,20.03%
2020-01,660,36,696,13211,986,14197,15619,1426,17045,11048,909,11957,6997,480,7477,2703,131,2834,696,21,717,50934,3989,54923,294,1,295,51228,3990,55218,11028,20.08%
2020-02,635,39,674,13228,984,14212,15642,1412,17054,11011,895,11906,7023,480,7503,2724,126,2850,702,20,722,50965,3956,54921,299,1,300,51264,3957,55221,11075,20.17%
2020-03,634,36,670,13154,964,14118,15568,1409,16977,11002,878,11880,6999,479,7478,2738,130,2868,712,20,732,50807,3916,54723,301,1,302,51108,3917,55025,11078,20.24%
2020-04,589,30,619,12724,912,13636,15184,1346,16530,10816,831,11647,6868,461,7329,2727,126,2853,711,20,731,49619,3726,53345,302,1,303,49921,3727,53648,10913,20.46%
2020-05,552,25,577,12272,849,13121,14717,1267,15984,10566,776,11342,6707,431,7138,2682,121,2803,698,20,718,48194,3489,51683,302,1,303,48496,3490,51986,10659,20.62%
2020-06,522,25,547,11998,844,12842,14472,1241,15713,10470,774,11244,6643,420,7063,2648,122,2770,693,19,712,47446,3445,50891,327,1,328,47773,3446,51219,10545,20.72%
2020-07,497,23,520,11724,819,12543,14221,1220,15441,10373,776,11149,6578,414,6992,2658,118,2776,683,18,701,46734,3388,50122,329,1,330,47063,3389,50452,10469,20.89%
2020-08,462,20,482,11508,802,12310,14087,1203,15290,10286,760,11046,6517,406,6923,2657,120,2777,674,18,692,46191,3329,49520,333,1,334,46524,3330,49854,10392,20.99%
2020-09,428,20,448,11323,782,12105,13961,1183,15144,10229,769,10998,6485,401,6886,2649,117,2766,671,18,689,45746,3290,49036,334,1,335,46080,3291,49371,10341,21.09%
2020-10,417,20,437,11016,752,11768,13745,1139,14884,10062,752,10814,6352,391,6743,2647,118,2765,673,19,692,44912,3191,48103,335,1,336,45247,3192,48439,10200,21.20%
2020-11,385,18,403,10894,753,11647,13676,1125,14801,10025,749,10774,6324,384,6708,2654,118,2772,679,18,697,44637,3165,47802,335,1,336,44972,3166,48138,10177,21.29%
2020-12,368,16,384,10734,739,11473,13563,1102,14665,9934,732,10666,6318,384,6702,2667,121,2788,676,17,693,44260,3111,47371,337,1,338,44597,3112,47709,10183,21.50%
2021-01,344,13,357,10515,720,11235,13414,1076,14490,9866,719,10585,6202,365,6567,2657,113,2770,672,17,689,43670,3023,46693,339,1,340,44009,3024,47033,10026,21.47%
2021-02,340,14,354,10310,693,11003,13341,1046,14387,9776,714,10490,6149,368,6517,2645,111,2756,671,17,688,43232,2963,46195,340,1,341,43572,2964,46536,9961,21.56%
2021-03,327,17,344,10220,675,10895,13334,1058,14392,9687,703,10390,6120,362,6482,2664,113,2777,676,17,693,43028,2945,45973,341,1,342,43369,2946,46315,9952,21.65%
2021-04,326,18,344,10180,670,10850,13270,1059,14329,9682,701,10383,6104,362,6466,2681,113,2794,672,17,689,42915,2940,45855,345,1,346,43260,2941,46201,9949,21.70%
2021-05,326,16,342,10164,677,10841,13321,1039,14360,9729,696,10425,6120,362,6482,2701,113,2814,672,18,690,43033,2921,45954,347,1,348,43380,2922,46302,9986,21.73%
2021-06,335,14,349,10212,677,10889,13397,1054,14451,9782,698,10480,6139,372,6511,2738,113,2851,678,18,696,43281,2946,46227,358,1,359,43639,2947,46586,10058,21.76%
2021-07,336,13,349,10124,668,10792,13451,1072,14523,9808,717,10525,6149,372,6521,2740,119,2859,692,18,710,43300,2979,46279,358,1,359,43658,2980,46638,10090,21.80%
2021-08,326,12,338,10047,669,10716,13522,1068,14590,9818,723,10541,6135,373,6508,2780,118,2898,698,18,716,43326,2981,46307,358,1,359,43684,2982,46666,10122,21.86%
2021-09,320,9,329,10007,652,10659,13542,1068,14610,9835,742,10577,6132,379,6511,2814,118,2932,707,18,725,43357,2986,46343,358,1,359,43715,2987,46702,10168,21.94%
2021-10,316,9,325,9938,645,10583,13584,1093,14677,9896,753,10649,6153,388,6541,2807,117,2924,703,19,722,43397,3024,46421,358,1,359,43755,3025,46780,10187,21.94%
2021-11,317,9,326,9920,643,10563,13609,1088,14697,9959,766,10725,6166,391,6557,2823,115,2938,707,19,726,43501,3031,46532,359,1,360,43860,3032,46892,10221,21.97%
2021-12,316,8,324,9931,632,10563,13638,1093,14731,9972,775,10747,6222,383,6605,2842,122,2964,708,18,726,43629,3031,46660,359,1,360,43988,3032,47020,10295,22.06%
2022-01,299,9,308,9784,626,10410,13532,1087,14619,9942,762,10704,6183,389,6572,2844,123,2967,711,17,728,43295,3013,46308,360,1,361,43655,3014,46669,10267,22.17%
2022-02,298,12,310,9777,643,10420,13559,1081,14640,9965,763,10728,6183,384,6567,2849,127,2976,723,17,740,43354,3027,46381,361,1,362,43715,3028,46743,10283,22.17%
2022-03,287,13,300,9866,656,10522,13611,1116,14727,10032,781,10813,6192,393,6585,2858,131,2989,732,19,751,43578,3109,46687,362,1,363,43940,3110,47050,10325,22.12%
2022-04,282,13,295,9879,657,10536,13661,1126,14787,10072,789,10861,6238,394,6632,2865,132,2997,735,20,755,43732,3131,46863,363,1,364,44095,3132,47227,10384,22.16%
2022-05,300,15,315,9940,672,10612,13750,1156,14906,10179,812,10991,6268,389,6657,2919,134,3053,738,19,757,44094,3197,47291,363,1,364,44457,3198,47655,10467,22.13%
2022-06,300,19,319,9899,687,10586,13773,1182,14955,10234,826,11060,6298,391,6689,2937,134,3071,740,19,759,44181,3258,47439,374,2,376,44555,3260,47815,10519,22.17%
2022-07,300,21,321,9839,672,10511,13783,1182,14965,10241,812,11053,6328,388,6716,2945,134,3079,753,21,774,44189,3230,47419,374,2,376,44563,3232,47795,10569,22.29%
2022-08,315,23,338,9795,683,10478,13821,1197,15018,10259,813,11072,6351,392,6743,2966,138,3104,768,20,788,44275,3266,47541,374,2,376,44649,3268,47917,10635,22.37%
2022-09,322,22,344,9731,694,10425,13881,1189,15070,10283,816,11099,6371,391,6762,2992,138,3130,771,19,790,44351,3269,47620,375,2,377,44726,3271,47997,10682,22.43%
2022-10,336,22,358,9719,699,10418,13959,1203,15162,10324,828,11152,6401,398,6799,3013,135,3148,779,20,799,44531,3305,47836,378,2,380,44909,3307,48216,10746,22.46%
2022-11,343,25,368,9689,698,10387,14034,1206,15240,10367,838,11205,6453,399,6852,3022,141,3163,790,20,810,44698,3327,48025,379,2,381,45077,3329,48406,10825,22.54%
2022-12,341,25,366,9635,699,10334,14116,1207,15323,10379,846,11225,6494,403,6897,3052,144,3196,789,21,810,44806,3345,48151,379,2,381,45185,3347,48532,10903,22.64%
2023-01,329,25,354,9609,695,10304,14085,1207,15292,10432,856,11288,6511,389,6900,3087,148,3235,791,21,812,44844,3341,48185,379,3,382,45223,3344,48567,10947,22.72%
2023-02,319,27,346,9628,695,10323,14183,1219,15402,10477,849,11326,6522,404,6926,3100,148,3248,808,21,829,45037,3363,48400,382,3,385,45419,3366,48785,11003,22.73%
2023-03,321,26,347,9756,705,10461,14288,1259,15547,10607,859,11466,6553,414,6967,3109,148,3257,816,23,839,45450,3434,48884,382,3,385,45832,3437,49269,11063,22.63%
2023-04,320,26,346,9743,711,10454,14282,1279,15561,10625,874,11499,6569,418,6987,3113,147,3260,818,23,841,45470,3478,48948,386,3,389,45856,3481,49337,11088,22.65%
2023-05,319,28,347,9681,709,10390,14317,1287,15604,10601,879,11480,6529,425,6954,3136,145,3281,827,24,851,45410,3497,48907,387,3,390,45797,3500,49297,11086,22.67%
2023-06,326,30,356,9672,705,10377,14392,1292,15684,10675,881,11556,6559,437,6996,3138,145,3283,837,24,861,45599,3514,49113,397,3,400,45996,3517,49513,11140,22.68%
2023-07,319,29,348,9607,706,10313,14357,1261,15618,10677,899,11576,6559,442,7001,3151,152,3303,846,24,870,45516,3513,49029,397,3,400,45913,3516,49429,11174,22.79%
2023-08,322,31,353,9628,711,10339,14378,1272,15650,10757,919,11676,6592,442,7034,3168,152,3320,868,24,892,45713,3551,49264,398,3,401,46111,3554,49665,11246,22.83%
2023-09,338,31,369,9655,713,10368,14416,1282,15698,10785,954,11739,6598,437,7035,3216,152,3368,877,25,902,45885,3594,49479,401,3,404,46286,3597,49883,11305,22.85%
2023-10,346,32,378,9701,712,10413,14548,1279,15827,10898,966,11864,6679,432,7111,3246,152,3398,878,25,903,46296,3598,49894,401,3,404,46697,3601,50298,11412,22.87%
2023-11,352,31,383,9770,710,10480,14589,1319,15908,10974,970,11944,6724,441,7165,3265,154,3419,887,25,912,46561,3650,50211,402,3,405,46963,3653,50616,11496,22.90%
2023-12,365,31,396,9713,707,10420,14588,1340,15928,11035,969,12004,6735,450,7185,3262,151,3413,897,26,923,46595,3674,50269,402,3,405,46997,3677,50674,11521,22.92%
2024-01,361,32,393,9659,699,10358,14611,1345,15956,11061,961,12022,6735,464,7199,3285,152,3437,897,26,923,46609,3679,50288,404,3,407,47013,3682,50695,11559,22.99%
2024-02,360,31,391,9655,719,10374,14603,1343,15946,11096,966,12062,6755,463,7218,3309,149,3458,895,27,922,46673,3698,50371,405,3,408,47078,3701,50779,11598,23.03%
2024-03,376,32,408,9674,714,10388,14606,1364,15970,11164,976,12140,6793,471,7264,3338,150,3488,907,27,934,46858,3734,50592,407,3,410,47265,3737,51002,11686,23.10%
2024-04,393,32,425,9658,723,10381,14685,1367,16052,11241,979,12220,6825,483,7308,3372,154,3526,914,29,943,47088,3767,50855,408,3,411,47496,3770,51266,11777,23.16%
2024-05,405,32,437,9678,721,10399,14699,1391,16090,11275,980,12255,6836,481,7317,3424,157,3581,921,29,950,47238,3791,51029,411,3,414,47649,3794,51443,11848,23.22%
2024-06,415,29,444,9692,728,10420,14716,1382,16098,11343,963,12306,6827,467,7294,3460,164,3624,929,29,958,47382,3762,51144,423,3,426,47805,3765,51570,11876,23.22%
2024-07,403,29,432,9616,717,10333,14716,1380,16096,11360,958,12318,6838,467,7305,3474,158,3632,950,30,980,47357,3739,51096,424,3,427,47781,3742,51523,11917,23.32%
2024-08,408,26,434,9588,721,10309,14703,1378,16081,11389,959,12348,6841,471,7312,3478,161,3639,956,30,986,47363,3746,51109,424,3,427,47787,3749,51536,11937,23.36%
2024-09,406,27,433,9601,730,10331,14716,1382,16098,11453,963,12416,6865,483,7348,3511,165,3676,952,30,982,47504,3780,51284,425,3,428,47929,3783,51712,12006,23.41%
2024-10,407,24,431,9575,737,10312,14731,1408,16139,11434,964,12398,6854,483,7337,3546,175,3721,969,31,1000,47516,3822,51338,425,3,428,47941,3825,51766,12058,23.49%
2024-11,403,26,429,9527,738,10265,14678,1391,16069,11476,959,12435,6863,477,7340,3555,177,3732,974,32,1006,47476,3800,51276,425,3,428,47901,3803,51704,12078,23.55%
2024-12,409,26,435,9507,739,10246,14644,1384,16028,11552,958,12510,6893,482,7375,3567,185,3752,985,34,1019,47557,3808,51365,428,3,431,47985,3811,51796,12146,23.65%
2025-01,393,22,415,9475,752,10227,14617,1383,16000,11563,957,12520,6890,503,7393,3586,184,3770,985,32,1017,47509,3833,51342,431,3,434,47940,3836,51776,12180,23.72%
2025-02,393,23,416,9520,748,10268,14609,1375,15984,11615,971,12586,6877,502,7379,3592,185,3777,991,30,1021,47597,3834,51431,432,3,435,48029,3837,51866,12177,23.68%
2025-03,397,24,421,9547,747,10294,14606,1376,15982,11678,980,12658,6884,500,7384,3625,189,3814,999,31,1030,47736,3847,51583,434,3,437,48170,3850,52020,12228,23.71%
2025-04,390,25,415,9564,737,10301,14668,1404,16072,11717,991,12708,6897,495,7392,3645,193,3838,1010,34,1044,47891,3879,51770,438,3,441,48329,3882,52211,12274,23.71%
2025-05,410,26,436,9620,748,10368,14818,1419,16237,11830,1001,12831,6949,507,7456,3678,196,3874,1020,37,1057,48325,3934,52259,438,3,441,48763,3937,52700,12387,23.70%
2025-06,400,25,425,9588,767,10355,14850,1427,16277,11881,1011,12892,6910,514,7424,3731,194,3925,1024,36,1060,48384,3974,52358,443,3,446,48827,3977,52804,12409,23.70%
2025-07,407,24,431,9573,770,10343,14826,1438,16264,11932,1037,12969,6932,504,7436,3742,194,3936,1027,38,1065,48439,4005,52444,444,3,447,48883,4008,52891,12437,23.71%
2025-08,395,23,418,9535,766,10301,14805,1436,16241,11960,1030,12990,6927,506,7433,3722,194,3916,1043,36,1079,48387,3991,52378,446,3,449,48833,3994,52827,12428,23.73%
2025-10,394,23,417,9574,780,10354,14877,1435,16312,12105,1068,13173,7034,501,7535,3782,200,3982,1082,36,1118,48848,4043,52891,450,3,453,49298,4046,53344,12635,23.89%
2025-11,382,18,400,9521,774,10295,14833,1454,16287,12156,1073,13229,7027,505,7532,3817,199,4016,1089,35,1124,48825,4058,52883,452,3,455,49277,4061,53338,12672,23.96%
2025-12,390,19,409,9506,767,10273,14875,1470,16345,12171,1080,13251,7005,506,7511,3849,202,4051,1097,36,1133,48893,4080,52973,454,3,457,49347,4083,53430,12695,23.97%
2026-01,375,18,393,9416,749,10165,14799,1473,16272,12172,1078,13250,6985,511,7496,3831,207,4038,1101,36,1137,48679,4072,52751,456,3,459,49135,4075,53210,12671,24.02%
2026-02,363,18,381,9418,748,10166,14842,1474,16316,12168,1071,13239,7031,504,7535,3812,208,4020,1128,36,1164,48762,4059,52821,456,3,459,49218,4062,53280,12719,24.08%
2026-03,386,18,404,9436,753,10189,14933,1435,16368,12244,1072,13316,7066,500,7566,3839,204,4043,1131,36,1167,49035,4018,53053,458,3,461,49493,4021,53514,12776,24.08%
2026-04,395,17,412,9476,750,10226,14901,1429,16330,12263,1074,13337,7092,499,7591,3845,200,4045,1132,36,1168,49104,4005,53109,459,3,462,49563,4008,53571,12804,24.11%
2026-05,422,18,440,9415,747,10162,14851,1426,16277,12256,1075,13331,7081,495,7576,3869,205,4074,1135,37,1172,49029,4003,53032,465,3,468,49494,4006,53500,12822,24.18%
2026-06,411,19,430,9446,752,10198,14783,1424,16207,12311,1077,13388,7123,494,7617,3886,207,4093,1144,40,1184,49104,4013,53117,470,3,473,49574,4016,53590,12894,24.27%
