report,violent,violent_m,violent_f,violent_p,sex_crime,sex_crime_m,sex_crime_f,sex_crime_p,property,property_m,property_f,property_p,drug,drug_m,drug_f,drug_p,habit_dui,habit_dui_m,habit_dui_f,habit_dui_p,other_category,other_category_m,other_category_f,other_category_p,total_reported_by_category,total_reported_by_category_m,total_reported_by_category_f
Admissions_CY_2015,5436,5014,422,30.76%,1509,1483,26,8.54%,5395,4584,811,30.53%,3713,3088,625,21.01%,75,68,7,0.42%,1544,1399,145,8.74%,17672,15636,2036
Admissions_CY_2016,5806,5347,459,32.11%,1591,1561,30,8.80%,5164,4364,800,28.56%,3722,3065,657,20.58%,90,82,8,0.50%,1709,1557,152,9.45%,18082,15976,2106
Admissions_CY_2017,5631,5182,449,32.69%,1577,1549,28,9.16%,4844,4128,716,28.13%,3437,2806,631,19.96%,82,75,7,0.48%,1652,1507,145,9.59%,17223,15247,1976
Admissions_CY_2018,6133,5610,523,33.57%,1740,1707,33,9.53%,4935,4149,786,27.02%,3640,2863,777,19.93%,92,83,9,0.50%,1727,1526,201,9.45%,18267,15938,2329
Admissions_CY_2019,6312,5811,501,33.29%,1635,1606,29,8.62%,4922,4207,715,25.96%,3933,3139,794,20.74%,80,70,10,0.42%,2079,1895,184,10.96%,18961,16728,2233
Admissions_CY_2020,3357,3097,260,32.64%,823,808,15,8.00%,2772,2389,383,26.95%,2109,1718,391,20.50%,37,32,5,0.36%,1188,1066,122,11.55%,10286,9110,1176
Admissions_CY_2021,4956,4611,345,36.42%,1379,1350,29,10.13%,3129,2746,383,23.00%,2513,2040,473,18.47%,50,38,12,0.37%,1580,1439,141,11.61%,13607,12224,1383
Admissions_CY_2022,5860,5364,496,39.53%,1602,1568,34,10.81%,3007,2542,465,20.28%,2493,1959,534,16.82%,58,50,8,0.39%,1804,1605,199,12.17%,14824,13088,1736
Admissions_CY_2023,6157,5649,508,40.46%,1701,1670,31,11.18%,3023,2533,490,19.86%,2424,1901,523,15.93%,37,33,4,0.24%,1876,1679,197,12.33%,15218,13465,1753
Admissions_CY_2024,6270,5713,557,43.13%,1434,1406,28,9.86%,2651,2188,463,18.23%,2293,1824,469,15.77%,48,39,9,0.33%,1843,1650,193,12.68%,14539,12820,1719
Admissions_CY_2025,5971,5358,613,42.82%,1403,1369,34,10.06%,2695,2184,511,19.33%,2005,1531,474,14.38%,40,32,8,0.29%,1830,1599,231,13.12%,13944,12073,1871
Releases_CY_2005,3810,3489,321,21.07%,884,869,15,4.89%,6456,5533,923,35.71%,5271,4722,549,29.16%,223,214,9,1.23%,1435,1346,89,7.94%,18079,16173,1906
Releases_CY_2006,4009,3701,308,21.66%,1028,1007,21,5.55%,6304,5377,927,34.05%,5501,4825,676,29.71%,186,179,7,1.00%,1485,1382,103,8.02%,18513,16471,2042
Releases_CY_2007,4176,3866,310,21.64%,1207,1186,21,6.26%,6437,5507,930,33.36%,5750,5013,737,29.80%,147,143,4,0.76%,1579,1465,114,8.18%,19296,17180,2116
Releases_CY_2008,4725,4382,343,23.13%,1278,1256,22,6.26%,6632,5673,959,32.47%,6070,5304,766,29.72%,131,122,9,0.64%,1588,1483,105,7.78%,20424,18220,2204
Releases_CY_2009,4881,4533,348,23.40%,1353,1324,29,6.49%,6978,5958,1018,33.46%,5995,5220,775,28.74%,136,129,7,0.65%,1514,1414,100,7.26%,20857,18578,2277
Releases_CY_2010,5246,4824,420,24.20%,1444,1420,24,6.66%,7320,6339,980,33.76%,5871,5144,726,27.08%,126,119,7,0.58%,1674,1569,105,7.72%,21681,19415,2262
Releases_CY_2011,5452,5062,390,26.24%,1531,1497,34,7.37%,6961,6094,867,33.50%,5093,4516,577,24.51%,92,85,7,0.44%,1650,1546,104,7.94%,20779,18800,1979
Releases_CY_2012,5275,4917,358,27.45%,1523,1494,29,7.92%,6556,5656,900,34.11%,4305,3732,573,22.40%,103,99,4,0.54%,1458,1359,99,7.59%,19220,17257,1963
Releases_CY_2013,5680,5286,394,27.00%,1530,1503,27,7.27%,7193,6288,905,34.19%,4916,4289,627,23.37%,107,98,9,0.51%,1611,1502,109,7.66%,21037,18966,2071
Releases_CY_2014,5533,5118,415,28.08%,1549,1514,35,7.86%,6648,5698,950,33.74%,4321,3705,616,21.93%,105,91,14,0.53%,1550,1422,128,7.87%,19706,17548,2158
Releases_CY_2015,5247,4829,418,29.34%,1649,1626,23,9.22%,5789,4947,842,32.37%,3619,3084,535,20.24%,86,79,7,0.48%,1494,1363,131,8.35%,17884,15928,1956
Releases_CY_2016,5176,4762,414,30.56%,1577,1546,31,9.31%,5249,4469,780,30.99%,3376,2815,561,19.93%,89,78,11,0.53%,1469,1332,137,8.67%,16936,15002,1934
Releases_CY_2017,5417,5016,401,31.38%,1465,1428,37,8.49%,5222,4453,769,30.25%,3427,2858,569,19.85%,81,70,11,0.47%,1651,1497,154,9.56%,17263,15322,1941
Releases_CY_2018,6227,5736,491,33.62%,1481,1455,26,8.00%,5286,4460,826,28.54%,3654,2963,691,19.73%,100,95,5,0.54%,1776,1619,157,9.59%,18524,16328,2196
Releases_CY_2019,6036,5602,434,33.53%,1463,1437,26,8.13%,5096,4302,794,28.31%,3559,2881,678,19.77%,69,62,7,0.38%,1779,1587,192,9.88%,18002,15871,2131
Releases_CY_2020,6195,5706,489,33.86%,1585,1551,34,8.66%,5023,4298,725,27.45%,3456,2770,686,18.89%,56,48,8,0.31%,1983,1792,191,10.84%,18298,16165,2133
Releases_CY_2021,5228,4836,392,37.95%,1384,1360,24,10.05%,3319,2906,413,24.09%,2357,1904,453,17.11%,46,37,9,0.33%,1442,1309,133,10.47%,13776,12352,1424
Releases_CY_2022,5305,4916,389,39.72%,1229,1203,26,9.20%,3089,2691,398,23.13%,2244,1772,472,16.80%,49,38,11,0.37%,1441,1310,131,10.79%,13357,11930,1427
Releases_CY_2023,5281,4875,406,39.69%,1228,1202,26,9.23%,3013,2553,460,22.65%,2103,1701,402,15.81%,45,40,5,0.34%,1635,1462,173,12.29%,13305,11833,1472
Releases_CY_2024,5591,5131,460,41.18%,1304,1276,28,9.60%,2933,2468,465,21.60%,2014,1586,428,14.83%,40,37,3,0.29%,1696,1510,186,12.49%,13578,12008,1570
Releases_CY_2025,5774,5304,470,42.08%,1362,1333,29,9.93%,2738,2285,453,19.95%,2082,1624,458,15.17%,46,35,11,0.34%,1719,1535,184,12.53%,13721,12116,1605
