"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Toombs County","332",".65%","90.46%","35",".91%","9.54%","367",".67%"
"Towns County","56",".11%","77.78%","16",".42%","22.22%","72",".13%"
"Treutlen County","71",".14%","94.67%","4",".10%","5.33%","75",".14%"
"Troup County","637","1.25%","91.65%","58","1.51%","8.35%","695","1.27%"
"Turner County","70",".14%","95.89%","3",".08%","4.11%","73",".13%"
"Twiggs County","53",".10%","96.36%","2",".05%","3.64%","55",".10%"
"Union County","90",".18%","90.00%","10",".26%","10.00%","100",".18%"
"Upson County","179",".35%","94.21%","11",".29%","5.79%","190",".35%"
"Walker County","446",".87%","92.34%","37",".96%","7.66%","483",".88%"
"Walton County","554","1.09%","92.33%","46","1.20%","7.67%","600","1.09%"
"Ware County","368",".72%","91.09%","36",".94%","8.91%","404",".74%"
"Warren County","36",".07%","100.00%","","","","36",".07%"
"Washington County","176",".35%","90.26%","19",".49%","9.74%","195",".36%"
"Wayne County","155",".30%","93.37%","11",".29%","6.63%","166",".30%"
"Webster County","4",".01%","100.00%","","","","4",".01%"
"Wheeler County","25",".05%","92.59%","2",".05%","7.41%","27",".05%"
"White County","98",".19%","85.22%","17",".44%","14.78%","115",".21%"
"Whitfield County","698","1.37%","87.91%","96","2.50%","12.09%","794","1.45%"
"Wilcox County","47",".09%","97.92%","1",".03%","2.08%","48",".09%"
"Wilkes County","71",".14%","92.21%","6",".16%","7.79%","77",".14%"
"Wilkinson County","50",".10%","98.04%","1",".03%","1.96%","51",".09%"
"Worth County","135",".26%","91.84%","12",".31%","8.16%","147",".27%"
"Troup County Ci","1",".01%","100.00%","","","","1",".01%"
"Total Rported","51,005","100%","93%","3,842","100%","7%","54,847","100%"
"Not Reported","0",,,"0",,,"0",
"Grand Total","51,005",,,"3,842",,,"54,847",
