"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Randolph County","15",".09%","88.24%","2",".09%","11.76%","17",".09%"
"Richmond County","604","3.61%","89.61%","70","3.13%","10.39%","674","3.55%"
"Rockdale County","201","1.20%","87.01%","30","1.34%","12.99%","231","1.22%"
"Schley County","10",".06%","100.00%","","","","10",".05%"
"Screven County","34",".20%","89.47%","4",".18%","10.53%","38",".20%"
"Seminole County","23",".14%","88.46%","3",".13%","11.54%","26",".14%"
"Spalding County","206","1.23%","88.03%","28","1.25%","11.97%","234","1.23%"
"Stephens County","50",".30%","94.34%","3",".13%","5.66%","53",".28%"
"Stewart County","9",".05%","90.00%","1",".04%","10.00%","10",".05%"
"Sumter County","86",".51%","94.51%","5",".22%","5.49%","91",".48%"
"Talbot County","7",".04%","100.00%","","","","7",".04%"
"Taliaferro County","4",".02%","100.00%","","","","4",".02%"
"Tattnall County","69",".41%","79.31%","18",".81%","20.69%","87",".46%"
"Taylor County","24",".14%","96.00%","1",".04%","4.00%","25",".13%"
"Telfair County","29",".17%","87.88%","4",".18%","12.12%","33",".17%"
"Terrell County","22",".13%","95.65%","1",".04%","4.35%","23",".12%"
"Thomas County","54",".32%","91.53%","5",".22%","8.47%","59",".31%"
"Tift County","80",".48%","90.91%","8",".36%","9.09%","88",".46%"
"Toombs County","97",".58%","86.61%","15",".67%","13.39%","112",".59%"
"Towns County","22",".13%","81.48%","5",".22%","18.52%","27",".14%"
"Treutlen County","23",".14%","88.46%","3",".13%","11.54%","26",".14%"
"Troup County","194","1.16%","88.99%","24","1.07%","11.01%","218","1.15%"
"Turner County","15",".09%","93.75%","1",".04%","6.25%","16",".08%"
"Twiggs County","15",".09%","88.24%","2",".09%","11.76%","17",".09%"
"Union County","60",".36%","78.95%","16",".72%","21.05%","76",".40%"
"Upson County","65",".39%","77.38%","19",".85%","22.62%","84",".44%"
"Walker County","166",".99%","84.69%","30","1.34%","15.31%","196","1.03%"
"Walton County","331","1.98%","87.11%","49","2.19%","12.89%","380","2.00%"
"Ware County","120",".72%","88.24%","16",".72%","11.76%","136",".72%"
"Warren County","9",".05%","100.00%","","","","9",".05%"
"Washington County","44",".26%","81.48%","10",".45%","18.52%","54",".28%"
"Wayne County","65",".39%","85.53%","11",".49%","14.47%","76",".40%"
"Webster County","2",".01%","66.67%","1",".04%","33.33%","3",".02%"
"Wheeler County","3",".02%","100.00%","","","","3",".02%"
"White County","38",".23%","80.85%","9",".40%","19.15%","47",".25%"
"Whitfield County","510","3.05%","78.34%","141","6.31%","21.66%","651","3.43%"
"Wilcox County","14",".08%","93.33%","1",".04%","6.67%","15",".08%"
"Wilkes County","21",".13%","95.45%","1",".04%","4.55%","22",".12%"
"Wilkinson County","20",".12%","90.91%","2",".09%","9.09%","22",".12%"
"Worth County","28",".17%","96.55%","1",".04%","3.45%","29",".15%"
"Total Rported","16,734","100%","88.23%","2,233","100%","11.77%","18,967","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","16,734","","","2,233","","","18,967",""
