report,PSIY_0-1,PSIY_1.1-2,PSIY_2.1-3,PSIY_3.1-4,PSIY_4.1-5,PSIY_5.1-6,PSIY_6.1-7,PSIY_7.1-8,PSIY_8.1-9,PSIY_9.1-10,PSIY_10.1-12,PSIY_12.1-15,PSIY_15.1-20,PSIY_20.1+,PSIY_life,PSIY_LWOP,PSIY_death,PSIY_YO,PSIY_total_reported,PSIY_not_reported,total_pop,PSIY_0-1_m,PSIY_1.1-2_m,PSIY_2.1-3_m,PSIY_3.1-4_m,PSIY_4.1-5_m,PSIY_5.1-6_m,PSIY_6.1-7_m,PSIY_7.1-8_m,PSIY_8.1-9_m,PSIY_9.1-10_m,PSIY_10.1-12_m,PSIY_12.1-15_m,PSIY_15.1-20_m,PSIY_20.1+_m,PSIY_life_m,PSIY_LWOP_m,PSIY_death_m,PSIY_YO_m,PSIY_total_reported_m,PSIY_not_reported_m,total_male_pop,PSIY_0-1_f,PSIY_1.1-2_f,PSIY_2.1-3_f,PSIY_3.1-4_f,PSIY_4.1-5_f,PSIY_5.1-6_f,PSIY_6.1-7_f,PSIY_7.1-8_f,PSIY_8.1-9_f,PSIY_9.1-10_f,PSIY_10.1-12_f,PSIY_12.1-15_f,PSIY_15.1-20_f,PSIY_20.1+_f,PSIY_life_f,PSIY_LWOP_f,PSIY_death_f,PSIY_YO_f,PSIY_total_reported_f,PSIY_not_reported_f,total_female_pop
2006-07,2457,4343,4457,3118,5380,2238,2154,1967,831,6397,2421,3603,3550,2770,6438,429,102,3,52659,0,52659,2204,3839,3936,2826,4917,2074,2024,1843,774,6068,2307,3455,3425,2704,6159,423,101,3,49083,0,49083,253,504,521,292,463,164,130,124,57,329,114,148,125,66,279,6,1,0,3576,0,3576
2006-08,2708,4247,4332,3047,5280,2194,2108,1931,820,6367,2413,3584,3534,2755,6408,426,101,3,52259,0,52259,2407,3750,3835,2752,4828,2032,1983,1812,764,6037,2297,3437,3412,2690,6130,421,100,3,48691,0,48691,301,497,497,295,452,162,125,119,56,330,116,147,122,65,278,5,1,0,3568,0,3568
2006-09,2559,4337,4350,3057,5371,2201,2119,1930,796,6461,2415,3594,3543,2768,6417,432,100,3,52453,0,52453,2287,3820,3868,2765,4913,2035,1987,1813,743,6126,2299,3445,3420,2701,6135,426,99,3,48885,0,48885,272,517,482,292,458,166,132,117,53,335,116,149,123,67,282,6,1,0,3568,0,3568
2006-10,2523,4293,4353,3093,5378,2219,2117,1927,803,6487,2420,3592,3549,2769,6398,434,99,3,52457,0,52457,2241,3772,3881,2801,4922,2059,1985,1812,748,6145,2307,3441,3425,2703,6118,428,98,3,48889,0,48889,282,521,472,292,456,160,132,115,55,342,113,151,124,66,280,6,1,0,3568,0,3568
2006-11,2622,4134,4234,2993,5325,2195,2084,1903,790,6463,2413,3581,3558,2778,6408,439,99,3,52022,0,52022,2325,3634,3781,2713,4867,2037,1959,1790,737,6119,2300,3436,3437,2714,6125,433,98,3,48508,0,48508,297,500,453,280,458,158,125,113,53,344,113,145,121,64,283,6,1,0,3514,0,3514
2006-12,2733,4246,4355,3062,5448,2243,2103,1921,803,6493,2426,3603,3575,2780,6452,446,100,3,52792,0,52792,2437,3747,3892,2777,4969,2083,1974,1808,752,6143,2316,3457,3453,2716,6169,440,99,3,49235,0,49235,296,499,463,285,479,160,129,113,51,350,110,146,122,64,283,6,1,0,3557,0,3557
2007-01,2449,4131,4278,2990,5429,2232,2094,1918,786,6470,2415,3596,3573,2764,6451,449,101,3,52129,0,52129,2167,3628,3818,2709,4957,2066,1964,1800,737,6120,2305,3452,3450,2701,6168,443,100,3,48588,0,48588,282,503,460,281,472,166,130,118,49,350,110,144,123,63,283,6,1,0,3541,0,3541
2007-02,2539,4134,4238,2937,5361,2195,2087,1909,776,6434,2424,3590,3578,2781,6426,448,102,3,51962,0,51962,2256,3628,3785,2656,4892,2033,1960,1792,728,6078,2315,3443,3456,2716,6142,442,101,3,48426,0,48426,283,506,453,281,469,162,127,117,48,356,109,147,122,65,284,6,1,0,3536,0,3536
2007-03,2920,4238,4262,2936,5347,2198,2074,1919,775,6431,2445,3587,3583,2795,6426,453,102,3,52494,0,52494,2628,3724,3800,2664,4880,2032,1942,1800,724,6068,2338,3440,3462,2729,6140,447,101,3,48922,0,48922,292,514,462,272,467,166,132,119,51,363,107,147,121,66,286,6,1,0,3572,0,3572
2007-04,3309,4199,4249,2930,5314,2186,2041,1919,767,6411,2461,3589,3583,2795,6425,459,104,3,52744,0,52744,3010,3683,3791,2662,4849,2033,1913,1794,717,6044,2358,3438,3462,2730,6142,453,103,3,49185,0,49185,299,516,458,268,465,153,128,125,50,367,103,151,121,65,283,6,1,0,3559,0,3559
2007-05,3425,4197,4181,2899,5262,2150,2024,1918,763,6395,2460,3574,3574,2772,6440,465,102,3,52604,0,52604,3129,3680,3736,2629,4810,1995,1900,1791,714,6028,2357,3423,3453,2706,6155,459,101,3,49069,0,49069,296,517,445,270,452,155,124,127,49,367,103,151,121,66,285,6,1,0,3535,0,3535
2007-06,3991,4310,4185,2883,5262,2133,2006,1902,765,6350,2454,3580,3586,2793,6456,465,102,3,53226,0,53226,3665,3799,3740,2615,4816,1988,1879,1776,715,5995,2354,3429,3464,2726,6172,459,101,3,49696,0,49696,326,511,445,268,446,145,127,126,50,355,100,151,122,67,284,6,1,0,3530,0,3530
2007-07,4090,4329,4164,2845,5238,2110,1999,1902,756,6318,2453,3566,3584,2793,6452,465,103,3,53170,0,53170,3742,3839,3722,2580,4799,1961,1873,1781,707,5959,2355,3417,3462,2727,6167,459,102,3,49655,0,49655,348,490,442,265,439,149,126,121,49,359,98,149,122,66,285,6,1,0,3515,0,3515
2007-08,3807,4289,4211,2830,5308,2102,2017,1928,739,6360,2467,3565,3608,2789,6470,467,101,3,53061,0,53061,3469,3776,3766,2559,4860,1953,1886,1801,694,5995,2362,3418,3482,2721,6184,461,100,3,49490,0,49490,338,513,445,271,448,149,131,127,45,365,105,147,126,68,286,6,1,0,3571,0,3571
2007-09,3409,4331,4329,2911,5398,2106,2038,1937,730,6375,2499,3608,3603,2800,6497,474,102,3,53150,0,53150,3108,3833,3871,2636,4952,1957,1909,1809,687,6013,2391,3461,3480,2732,6209,468,101,3,49620,0,49620,301,498,458,275,446,149,129,128,43,362,108,147,123,68,288,6,1,0,3530,0,3530
2007-10,3763,4262,4372,2904,5419,2127,2035,1931,728,6350,2528,3614,3609,2815,6497,473,104,3,53534,0,53534,3411,3773,3903,2637,4966,1971,1911,1807,685,5995,2413,3472,3482,2745,6212,467,103,3,49956,0,49956,352,489,469,267,453,156,124,124,43,355,115,142,127,70,285,6,1,0,3578,0,3578
2007-11,3631,4343,4482,2999,5531,2171,2053,1964,736,6392,2568,3648,3636,2835,6542,473,104,3,54111,0,54111,3294,3860,4019,2725,5075,2008,1928,1840,694,6040,2451,3503,3508,2765,6257,467,103,3,50540,0,50540,337,483,463,274,456,163,125,124,42,352,117,145,128,70,285,6,1,0,3571,0,3571
2007-12,1535,4487,4833,3231,6027,2308,2159,2048,761,6658,2647,3756,3718,2900,6602,480,103,3,54256,0,54256,1367,4008,4305,2947,5535,2138,2036,1917,718,6290,2529,3608,3591,2829,6314,474,102,3,50711,0,50711,168,479,528,284,492,170,123,131,43,368,118,148,127,71,288,6,1,0,3545,0,3545
2008-01,1475,4356,4821,3298,6032,2340,2177,2059,765,6679,2690,3773,3709,2910,6608,482,104,3,54281,0,54281,1307,3881,4289,2993,5536,2161,2051,1932,719,6316,2568,3624,3581,2837,6320,476,103,3,50697,0,50697,168,475,532,305,496,179,126,127,46,363,122,149,128,73,288,6,1,0,3584,0,3584
2008-02,1499,4336,4853,3293,5996,2318,2165,2069,775,6689,2675,3784,3716,2915,6607,479,106,3,54278,0,54278,1338,3872,4338,2999,5518,2154,2041,1941,732,6333,2552,3637,3591,2843,6319,473,105,3,50789,0,50789,161,464,515,294,478,164,124,128,43,356,123,147,125,72,288,6,1,0,3489,0,3489
2008-03,1529,4308,4822,3305,5993,2328,2169,2071,764,6699,2678,3814,3726,2917,6591,483,106,3,54306,0,54306,1376,3842,4326,3000,5519,2156,2042,1941,717,6337,2557,3664,3600,2844,6301,477,105,3,50807,0,50807,153,466,496,305,474,172,127,130,47,362,121,150,126,73,290,6,1,0,3499,0,3499
2008-04,1593,4234,4819,3291,5964,2323,2167,2064,771,6687,2683,3844,3739,2935,6614,485,106,3,54322,0,54322,1448,3777,4320,2988,5495,2157,2044,1937,723,6319,2562,3691,3613,2863,6325,479,105,3,50849,0,50849,145,457,499,303,469,166,123,127,48,368,121,153,126,72,289,6,1,0,3473,0,3473
2008-05,1531,4209,4795,3275,6015,2292,2175,2051,775,6694,2676,3866,3753,2940,6627,486,105,3,54268,0,54268,1384,3751,4285,2967,5520,2121,2056,1921,722,6333,2555,3707,3629,2867,6335,480,104,3,50740,0,50740,147,458,510,308,495,171,119,130,53,361,121,159,124,73,292,6,1,0,3528,0,3528
2008-06,1535,4134,4706,3280,5938,2294,2156,2043,764,6671,2670,3861,3774,2945,6649,490,103,3,54016,0,54016,1392,3655,4194,2960,5448,2117,2034,1922,711,6307,2549,3706,3647,2869,6358,483,102,3,50457,0,50457,143,479,512,320,490,177,122,121,53,364,121,155,127,76,291,7,1,0,3559,0,3559
2008-07,1456,4072,4592,3246,5839,2236,2130,2043,753,6656,2666,3873,3776,2954,6667,494,104,3,53560,0,53560,1309,3578,4079,2908,5352,2063,2005,1918,700,6293,2542,3717,3648,2877,6375,485,103,3,49955,0,49955,147,494,513,338,487,173,125,125,53,363,124,156,128,77,292,9,1,0,3605,0,3605
2008-08,1448,4040,4527,3240,5850,2221,2126,2023,747,6640,2647,3879,3773,2955,6660,494,104,3,53377,0,53377,1291,3527,4014,2911,5356,2049,1999,1900,697,6271,2521,3724,3641,2877,6368,485,103,3,49737,0,49737,157,513,513,329,494,172,127,123,50,369,126,155,132,78,292,9,1,0,3640,0,3640
2008-09,1521,3966,4395,3236,5790,2187,2107,2013,748,6596,2614,3857,3767,2958,6665,497,103,3,53023,0,53023,1339,3454,3884,2896,5295,2025,1975,1881,700,6227,2489,3704,3634,2879,6375,488,102,3,49350,0,49350,182,512,511,340,495,162,132,132,48,369,125,153,133,79,290,9,1,0,3673,0,3673
2008-10,1477,3954,4450,3247,5849,2186,2133,2012,752,6601,2627,3862,3772,2959,6672,499,104,3,53159,0,53159,1309,3445,3932,2909,5353,2021,1997,1881,705,6227,2500,3707,3641,2881,6383,490,103,3,49487,0,49487,168,509,518,338,496,165,136,131,47,374,127,155,131,78,289,9,1,0,3672,0,3672
2008-11,1398,3796,4380,3233,5878,2169,2124,1987,748,6580,2609,3883,3760,2963,6669,500,105,3,52785,0,52785,1224,3298,3886,2896,5381,2003,1993,1863,701,6206,2485,3731,3631,2884,6379,491,104,3,49159,0,49159,174,498,494,337,497,166,131,124,47,374,124,152,129,79,290,9,1,0,3626,0,3626
2008-12,1373,3831,4365,3198,5878,2163,2115,1967,734,6561,2605,3885,3772,2968,6695,502,104,3,52719,0,52719,1183,3298,3864,2858,5379,1995,1983,1845,686,6188,2482,3731,3644,2888,6404,493,103,3,49027,0,49027,190,533,501,340,499,168,132,122,48,373,123,154,128,80,291,9,1,0,3692,0,3692
2009-01,1389,3804,4335,3184,5824,2176,2127,1974,750,6539,2594,3882,3794,2971,6694,505,104,3,52649,0,52649,1199,3288,3841,2843,5331,2012,1996,1845,699,6163,2471,3728,3661,2892,6400,497,103,3,48972,0,48972,190,516,494,341,493,164,131,129,51,376,123,154,133,79,294,8,1,0,3677,0,3677
2009-02,1462,3893,4328,3147,5831,2195,2168,1967,753,6596,2597,3898,3800,2980,6721,509,104,3,52952,0,52952,1264,3365,3855,2820,5315,2027,2028,1837,702,6218,2469,3748,3662,2900,6425,500,103,3,49241,0,49241,198,528,473,327,516,168,140,130,51,378,128,150,138,80,296,9,1,0,3711,0,3711
2009-03,1551,4038,4390,3194,5798,2230,2165,1975,746,6607,2594,3888,3798,2972,6734,514,103,3,53300,0,53300,1353,3517,3900,2874,5305,2055,2026,1846,695,6230,2468,3738,3663,2889,6438,505,102,3,49607,0,49607,198,521,490,320,493,175,139,129,51,377,126,150,135,83,296,9,1,0,3693,0,3693
2009-04,1653,4121,4422,3175,5804,2246,2152,1973,745,6589,2573,3930,3801,2989,6761,518,103,3,53558,0,53558,1461,3606,3944,2860,5304,2074,2014,1845,691,6215,2455,3781,3664,2907,6466,509,102,3,49901,0,49901,192,515,478,315,500,172,138,128,54,374,118,149,137,82,295,9,1,0,3657,0,3657
2009-06,1949,4210,4437,3192,5788,2236,2121,1978,752,6594,2583,3955,3827,3015,6774,528,107,3,54049,0,54049,1719,3669,3947,2882,5284,2073,1989,1850,706,6217,2467,3800,3692,2931,6477,519,106,3,50331,0,50331,230,541,490,310,504,163,132,128,46,377,116,155,135,84,297,9,1,0,3718,0,3718
2009-07,1721,4283,4456,3213,5723,2235,2102,1984,775,6577,2578,3961,3825,3021,6784,533,108,3,53882,0,53882,1497,3729,3963,2902,5222,2066,1968,1855,729,6197,2460,3807,3689,2939,6485,524,107,3,50142,0,50142,224,554,493,311,501,169,134,129,46,380,118,154,136,82,299,9,1,0,3740,0,3740
2009-08,1604,4163,4410,3178,5622,2230,2069,1947,763,6529,2547,3947,3809,3025,6781,534,107,3,53268,0,53268,1383,3619,3910,2857,5121,2058,1934,1823,710,6150,2430,3794,3671,2946,6484,525,106,3,49524,0,49524,221,544,500,321,501,172,135,124,53,379,117,153,138,79,297,9,1,0,3744,0,3744
2009-09,1444,4149,4407,3207,5653,2236,2055,1966,782,6501,2594,3964,3834,3042,6802,545,105,5,53291,0,53287,1237,3613,3900,2885,5144,2060,1922,1842,726,6129,2471,3812,3695,2965,6506,536,104,5,49552,0,49552,207,535,506,322,508,176,133,124,56,372,123,152,139,77,295,9,1,0,3735,0,3735
2009-10,1449,4103,4439,3209,5719,2227,2081,1958,785,6488,2584,3969,3816,3036,6803,552,106,3,53327,0,53327,1251,3578,3927,2899,5187,2054,1935,1831,731,6112,2459,3815,3677,2959,6505,542,105,3,49570,0,49570,198,525,512,310,532,173,146,127,54,376,125,154,139,77,298,10,1,0,3757,0,3757
2009-11,1380,4065,4534,3238,5779,2244,2081,1966,795,6505,2570,3970,3837,3059,6834,555,102,3,53517,0,53512,1184,3542,4008,2914,5237,2075,1930,1842,738,6121,2445,3808,3700,2981,6536,545,101,3,49710,0,49710,195,521,526,324,540,169,151,124,57,384,125,162,137,78,298,10,1,0,3802,0,3802
2009-12,1380,4065,4534,3238,5779,2244,2081,1966,795,6505,2570,3970,3837,3059,6834,555,102,3,53517,0,53512,1184,3542,4008,2914,5237,2075,1930,1842,738,6121,2445,3808,3700,2981,6536,545,101,3,49710,0,49710,195,521,526,324,540,169,151,124,57,384,125,162,137,78,298,10,1,0,3802,0,3802
2010-01,1426,4026,4521,3180,5764,2197,2107,1928,792,6484,2545,3970,3843,3066,6843,569,101,3,53365,0,53363,1247,3541,3997,2858,5216,2022,1951,1807,732,6096,2427,3804,3701,2985,6548,557,100,3,49592,0,49592,179,484,524,322,547,175,156,121,60,388,118,166,142,81,295,12,1,0,3771,0,3771
2010-02,1520,4085,4534,3200,5779,2213,2119,1922,832,6490,2567,3989,3849,3076,6834,574,100,3,53686,0,53682,1344,3622,4009,2891,5232,2042,1958,1801,770,6110,2448,3824,3706,2995,6538,562,99,3,49954,0,49954,176,462,523,309,547,171,161,121,62,379,119,165,143,81,296,12,1,0,3728,0,3728
2010-03,1383,3966,4496,3118,5778,2210,2122,1916,823,6465,2547,4010,3840,3089,6838,578,100,3,53282,0,53279,1226,3529,3962,2836,5233,2034,1958,1793,767,6091,2429,3843,3699,3007,6543,566,99,3,49618,0,49618,157,436,532,282,545,176,164,123,56,374,118,167,141,82,295,12,1,0,3661,0,3661
2010-04,1372,3996,4451,3107,5702,2127,2071,1877,837,6367,2533,3951,3825,3079,6831,584,100,3,52813,0,52813,1208,3536,3913,2812,5161,1970,1926,1761,780,6004,2410,3792,3682,2996,6534,572,99,3,49159,0,49159,164,460,538,295,541,157,145,116,57,363,123,159,143,83,297,12,1,0,3654,0,3654
2010-05,1348,4020,4427,3085,5711,2112,2072,1871,841,6346,2547,3951,3825,3074,6841,593,101,3,52768,0,52768,1172,3542,3876,2811,5165,1954,1928,1759,782,5991,2422,3790,3683,2990,6536,580,99,3,49083,0,49083,176,478,551,274,546,158,144,112,59,355,125,161,142,84,305,13,2,0,3685,0,3685
2010-06,1319,3902,4416,3010,5658,2071,2053,1861,825,6293,2508,3932,3826,3082,6842,592,99,3,52292,0,52291,1108,3438,3839,2740,5105,1919,1902,1744,770,5944,2388,3768,3686,2999,6539,580,98,3,48570,0,48570,211,464,577,270,552,152,151,117,55,349,120,164,140,83,303,12,1,0,3721,0,3721
2010-07,1411,3955,4409,3021,5666,2037,2035,1869,826,6332,2483,3914,3833,3068,6835,604,101,3,52402,0,52401,1177,3501,3825,2740,5120,1892,1889,1748,772,5982,2369,3749,3693,2982,6531,592,100,3,48665,0,48665,233,454,584,281,546,145,146,121,54,350,114,165,140,86,304,12,1,0,3736,0,3736
2010-08,1488,4043,4461,3039,5692,2025,2057,1881,830,6326,2469,3906,3827,3077,6841,605,101,3,52671,0,52670,1254,3572,3872,2749,5136,1874,1911,1758,776,5978,2353,3742,3686,2988,6540,593,100,3,48885,0,48885,234,471,589,290,555,151,146,123,54,348,116,163,141,89,301,12,1,0,3784,0,3784
2010-09,1450,4005,4458,3012,5704,2080,2056,1907,854,6305,2468,3909,3833,3086,6828,610,99,3,52667,0,52665,1248,3572,3898,2734,5167,1929,1915,1785,802,5966,2360,3747,3692,2994,6528,599,98,3,49037,0,49037,201,433,560,278,536,151,141,122,52,339,108,161,141,92,300,11,1,0,3627,0,3627
2010-10,1484,4035,4462,2972,5765,2108,2054,1934,844,6323,2482,3922,3833,3099,6844,614,100,3,52878,0,52878,1249,3582,3864,2691,5215,1946,1909,1809,793,5984,2368,3766,3688,3006,6541,602,99,3,49115,0,49115,235,453,598,281,550,162,145,125,51,339,114,156,145,93,303,12,1,0,3763,0,3763
2010-11,1483,3920,4451,2968,5742,2102,2047,1929,843,6305,2456,3915,3830,3111,6854,615,100,3,52674,0,52674,1258,3471,3874,2683,5184,1942,1902,1807,796,5968,2341,3762,3685,3018,6553,603,99,3,48949,0,48949,225,449,577,285,558,160,145,122,47,337,115,153,145,93,301,12,1,0,3725,0,3725
2010-12,1526,4014,4522,3047,5756,2119,2039,1910,874,6289,2490,3925,3840,3142,6881,615,99,3,53091,0,53091,1296,3551,3934,2748,5203,1959,1894,1789,827,5953,2371,3772,3694,3049,6576,605,98,3,49322,0,49322,230,463,588,299,553,160,145,121,47,336,119,153,146,93,305,10,1,0,3769,0,3769
2011-01,1528,3951,4512,3050,5722,2096,2027,1892,874,6248,2476,3910,3834,3149,6886,614,99,3,52871,0,52868,1308,3494,3931,2749,5176,1943,1886,1776,828,5914,2359,3760,3689,3056,6581,604,98,3,49155,0,49155,220,457,581,301,544,153,141,116,46,334,117,149,145,93,305,10,1,0,3713,0,3713
2011-02,1654,3863,4542,3065,5717,2090,2029,1906,874,6231,2461,3911,3824,3142,6903,618,98,3,52931,0,52919,1415,3399,3958,2762,5180,1933,1889,1790,829,5891,2347,3761,3677,3047,6593,608,97,3,49179,0,49179,238,461,583,303,535,157,139,115,45,339,114,149,147,95,309,10,1,0,3740,0,3740
2011-03,9151,3776,4387,3060,5634,2142,2043,1936,896,6182,2513,3915,3839,3161,1,,,3,52639,0,52639,8639,3328,3839,2771,5121,1976,1905,1826,853,5847,2398,3776,3697,3068,1,,,3,49048,0,49048,512,448,548,289,513,166,138,110,43,335,115,139,142,93,0,,,0,3591,0,3591
2011-04,1586,3789,4413,3087,5579,2130,2036,1910,915,6149,2512,3924,3831,3163,6880,633,119,3,52659,0,52659,1395,3337,3875,2802,5080,1963,1900,1806,869,5823,2395,3784,3689,3071,6571,622,117,3,49102,0,49102,191,452,538,285,499,167,136,104,46,326,117,140,142,92,309,11,2,0,3557,0,3557
2011-05,1640,3773,4481,3132,5580,2152,2040,1902,923,6134,2502,3917,3822,3168,6877,634,120,3,52800,0,52800,1450,3324,3923,2832,5083,1983,1905,1798,877,5809,2386,3776,3679,3076,6568,623,118,3,49213,0,49213,190,449,558,300,497,169,135,104,46,325,116,141,143,92,309,11,2,0,3587,0,3587
2011-06,2112,4006,4460,3098,5439,2134,2027,1900,937,6107,2487,3908,3833,3186,6963,644,97,3,53341,0,53341,1916,3537,3910,2803,4962,1962,1888,1790,894,5781,2377,3768,3688,3093,6651,632,96,3,49751,0,49751,196,469,550,295,477,172,139,110,43,326,110,140,145,93,312,12,1,0,3590,0,3590
2011-07,1999,4030,4510,3085,5478,2167,2029,1876,968,6090,2486,3896,3831,3197,6957,652,97,3,53351,0,53351,1774,3526,3940,2778,4985,1985,1887,1765,920,5760,2375,3758,3687,3105,6645,640,96,3,49629,0,49629,225,504,570,307,493,182,142,111,48,330,111,138,144,92,312,12,1,0,3722,0,3722
2011-08,2350,4091,4614,3230,5617,2229,2115,1938,1010,6135,2533,3956,3965,3276,7118,674,98,4,54953,0,54953,2124,3571,4035,2909,5120,2044,1972,1822,957,5805,2418,3820,3821,3186,6802,661,97,4,51168,0,51168,226,520,579,321,497,185,143,116,53,330,115,136,144,90,316,13,1,0,3785,0,3785
2011-09,2325,4098,4648,3251,5638,2236,2125,1946,1017,6137,2541,3960,3975,3285,7132,678,96,4,55092,0,55092,2119,3601,4084,2934,5145,2053,1983,1832,964,5809,2426,3823,3830,3196,6816,665,95,4,51379,0,51379,206,497,564,317,493,183,142,114,53,328,115,137,145,89,316,13,1,0,3713,0,3713
2011-10,2308,4189,4649,3342,5676,2277,2158,1977,1037,6091,2532,3955,3978,3292,7132,686,97,4,55380,0,55380,2115,3687,4083,3008,5180,2087,2014,1856,984,5763,2419,3815,3835,3203,6815,673,96,4,51637,0,51637,193,502,566,334,496,190,144,121,53,328,113,140,143,89,317,13,1,0,3743,0,3743
2011-11,2230,4090,4636,3340,5656,2281,2162,1969,1043,6034,2508,3944,3988,3286,7115,693,96,4,55075,0,55075,2044,3597,4067,2991,5160,2087,2018,1841,991,5712,2399,3805,3842,3201,6799,680,95,4,51333,0,51333,186,493,569,349,496,194,144,128,52,322,109,139,146,85,316,13,1,0,3742,0,3742
