report,violent_sex,violent_sex_m,violent_sex_f,violent,violent_m,violent_f,violent_p,sex_crime,sex_crime_m,sex_crime_f,sex_crime_p,property,property_m,property_f,property_p,drug,drug_m,drug_f,drug_p,habit_dui,habit_dui_m,habit_dui_f,habit_dui_p,other_category,other_category_m,other_category_f,other_category_p,total_reported_by_category,total_reported_by_category_m,total_reported_by_category_f,primary_offense_category_page_no
2008-11,,,,23401,22086,1315,44.37%,7666,7553,113,14.53%,10366,9198,1168,19.65%,9042,8153,889,17.14%,139,133,6,0.26%,2131,1999,132,4.04%,52745,49122,3623,72
2008-12,,,,23393,22068,1325,44.40%,7672,7561,111,14.56%,10381,9184,1197,19.70%,8984,8071,913,17.05%,136,130,6,0.26%,2117,1981,136,4.02%,52683,48995,3688,72
2009-01,,,,23354,22035,1319,44.39%,7666,7560,106,14.57%,10356,9168,1188,19.68%,8991,8072,919,17.09%,130,124,6,0.25%,2118,1983,135,4.03%,52615,48942,3673,72
2009-02,,,,23454,22119,1335,44.31%,7664,7560,104,14.48%,10435,9221,1214,19.72%,9112,8193,919,17.22%,127,122,5,0.24%,2136,2003,133,4.04%,52928,49218,3710,72
2009-03,,,,23558,22214,1344,44.23%,7720,7615,105,14.49%,10551,9361,1190,19.81%,9155,8246,909,17.19%,129,125,4,0.24%,2151,2016,135,4.04%,53264,49577,3687,72
2009-04,,,,23663,22329,1334,44.22%,7780,7674,106,14.54%,10638,9442,1196,19.88%,9135,8242,893,17.07%,135,130,5,0.25%,2157,2036,121,4.03%,53508,49853,3655,72
2009-06,,,,23867,22529,1338,44.18%,7837,7732,105,14.51%,10755,9543,1212,19.91%,9236,8308,928,17.10%,136,128,8,0.25%,2193,2069,124,4.06%,54024,50309,3715,72
2009-07,,,,23783,22431,1352,44.17%,7841,7737,104,14.56%,10713,9497,1216,19.89%,9195,8271,924,17.08%,138,130,8,0.26%,2180,2048,132,4.05%,53850,50114,3736,72
2009-08,,,,23683,22324,1359,44.48%,7780,7677,103,14.61%,10537,9300,1237,19.79%,8969,8062,907,16.84%,130,122,8,0.24%,2147,2019,128,4.03%,53246,49504,3742,72
2009-09,,,,23799,22431,1367,44.67%,7787,7686,101,14.62%,10569,9333,1235,19.84%,8835,7936,899,16.58%,131,123,8,0.25%,2152,2027,124,4.04%,53273,49536,3734,68
2009-10,,,,23852,22484,1368,44.74%,7786,7683,103,14.61%,10542,9307,1235,19.78%,8860,7947,913,16.62%,125,119,6,0.23%,2142,2011,131,4.02%,53307,49551,3756,69
2009-11,,,,24024,22633,1389,44.91%,7799,7695,104,14.58%,10561,9311,1250,19.74%,8823,7907,915,16.49%,120,114,6,0.22%,2166,2030,136,4.05%,53493,49690,3800,69
2009-12,,,,24024,22633,1389,44.91%,7799,7695,104,14.58%,10561,9311,1250,19.74%,8823,7907,915,16.49%,120,114,6,0.22%,2166,2030,136,4.05%,53493,49690,3800,69
2010-01,,,,23989,22598,1391,44.98%,7789,7683,106,14.60%,10543,9308,1234,19.77%,8730,7837,893,16.37%,117,109,8,0.22%,2168,2032,136,4.06%,53336,49567,3768,73
2010-02,,,,24137,22741,1396,44.99%,7781,7675,106,14.50%,10668,9446,1222,19.88%,8738,7874,864,16.29%,117,110,7,0.22%,2211,2080,130,4.12%,53652,49926,3725,73
2010-03,,,,24085,22705,1380,45.24%,7749,7642,107,14.55%,10533,9335,1198,19.78%,8596,7759,837,16.14%,114,106,8,0.21%,2167,2040,127,4.07%,53244,49587,3657,73
2010-04,,,,23976,22588,1388,45.49%,7709,7599,110,14.63%,10402,9216,1186,19.74%,8416,7596,820,15.97%,110,103,7,0.21%,2093,1972,121,3.97%,52706,49074,3632,73
2010-05,,,,24047,22646,1401,45.61%,7723,7609,114,14.65%,10397,9201,1196,19.72%,8370,7538,832,15.87%,111,102,9,0.21%,2078,1951,127,3.94%,52726,49047,3679,73
2010-06,,,,23961,22557,1404,45.87%,7686,7572,114,14.71%,10232,9024,1208,19.59%,8202,7353,849,15.70%,101,91,10,0.19%,2060,1930,130,3.94%,52242,48527,3715,73
2010-07,,,,24013,22609,1404,45.87%,7720,7606,114,14.75%,10242,9020,1221,19.56%,8221,7367,854,15.70%,106,96,10,0.20%,2052,1924,128,3.92%,52354,48622,3731,73
2010-08,,,,24107,22690,1417,45.81%,7753,7635,117,14.73%,10369,9119,1250,19.70%,8209,7353,856,15.60%,112,102,10,0.21%,2072,1942,130,3.94%,52622,48841,3780,73
2010-09,,,,24202,22824,1378,45.99%,7796,7679,116,14.81%,10341,9142,1198,19.65%,8102,7296,806,15.40%,116,108,8,0.22%,2068,1950,118,3.93%,52625,48999,3624,73
2010-10,,,,23956,22576,1380,45.62%,7729,7613,116,14.72%,10323,9101,1222,19.66%,8428,7580,848,16.05%,103,94,9,0.20%,1968,1848,120,3.75%,52507,48812,3695,73
2010-11,,,,23954,22580,1374,45.84%,7719,7602,117,14.77%,10205,9002,1203,19.53%,8339,7507,832,15.96%,109,101,8,0.21%,1932,1812,120,3.70%,52258,48604,3654,73
2010-12,,,,24441,23036,1405,46.18%,7812,7695,117,14.76%,10464,9216,1248,19.77%,8035,7204,831,15.18%,100,92,8,0.19%,2074,1947,127,3.92%,52926,49190,3736,73
2011-01,,,,24384,22990,1394,46.28%,7806,7692,114,14.82%,10388,9173,1215,19.72%,7959,7133,826,15.11%,106,99,7,0.20%,2041,1920,121,3.87%,52684,49007,3677,73
2011-02,,,,24441,23042,1397,46.50%,7786,7671,115,14.81%,10307,9092,1212,19.61%,7884,7068,816,15.00%,98,92,6,0.19%,2050,1919,130,3.90%,52566,48884,3676,69
2011-03,,,,24014,22680,1334,46.60%,7688,7577,111,14.92%,10101,8952,1149,19.60%,7624,6868,756,14.80%,102,96,6,0.20%,1998,1878,120,3.88%,51527,48051,3476,68
2011-04,,,,24445,23085,1360,47.13%,7759,7648,111,14.96%,10022,8902,1120,19.32%,7526,6782,744,14.51%,107,101,6,0.21%,2008,1892,116,3.87%,51867,48410,3457,72
2011-05,,,,24439,23076,1363,47.12%,7743,7633,110,14.93%,10027,8903,1124,19.33%,7519,6777,742,14.50%,110,104,6,0.21%,2027,1907,120,3.91%,51865,48400,3465,72
2011-06,,,,24598,23232,1366,47.13%,7760,7651,109,14.87%,10140,9022,1118,19.43%,7509,6784,725,14.39%,126,119,7,0.24%,2055,1942,113,3.94%,52188,48750,3438,72
2011-07,,,,24471,23094,1377,46.99%,7750,7641,109,14.88%,10165,9009,1156,19.52%,7524,6757,767,14.45%,127,120,7,0.24%,2043,1922,121,3.92%,52080,48543,3537,71
2011-08,,,,25016,23617,1399,46.84%,7812,7707,105,14.63%,10734,9551,1183,20.10%,7553,6789,764,14.14%,135,129,6,0.25%,2155,2031,124,4.04%,53405,49824,3581,65
2011-09,,,,25039,23648,1391,46.80%,7810,7706,104,14.60%,10762,9608,1154,20.11%,7580,6839,741,14.17%,136,130,6,0.25%,2179,2061,118,4.07%,53506,49992,3514,70
2011-10,,,,25070,23670,1400,46.71%,7815,7710,105,14.56%,10863,9700,1163,20.24%,7599,6850,749,14.16%,135,130,5,0.25%,2195,2078,117,4.09%,53677,50138,3539,69
2011-11,,,,24889,23510,1379,46.68%,7804,7696,108,14.64%,10767,9599,1168,20.20%,7530,6784,746,14.12%,133,127,6,0.25%,2191,2066,125,4.11%,53314,49782,3532,69
2011-12,,,,24866,23484,1382,46.70%,7811,7705,106,14.67%,10749,9592,1157,20.19%,7486,6752,734,14.06%,136,131,5,0.26%,2203,2078,125,4.14%,53251,49742,3509,69
2012-01,,,,24707,23315,1392,46.62%,7789,7682,107,14.70%,10690,9546,1144,20.17%,7529,6783,746,14.21%,123,118,5,0.23%,2153,2034,119,4.06%,52991,49478,3513,69
2012-02,,,,25901,24437,1464,46.75%,8042,7935,107,14.51%,11534,10254,1280,20.82%,7602,6815,787,13.72%,113,106,7,0.20%,2213,2083,130,3.99%,55405,51630,3775,69
2012-03,,,,26111,24613,1498,46.41%,8114,8001,113,14.42%,11893,10578,1315,21.14%,7768,6957,811,13.81%,120,112,8,0.21%,2253,2118,135,4.00%,56259,52379,3880,70
2012-04,,,,26188,24687,1501,46.28%,8123,8011,112,14.36%,12055,10729,1326,21.31%,7822,7005,817,13.82%,123,116,7,0.22%,2269,2135,134,4.01%,56580,52683,3897,70
2012-05,,,,26243,24742,1501,46.08%,8171,8059,112,14.35%,12190,10850,1340,21.40%,7916,7098,818,13.90%,129,121,8,0.23%,2301,2167,134,4.04%,56950,53037,3913,69
2012-06,,,,26325,24831,1494,46.01%,8185,8071,114,14.31%,12294,10972,1322,21.49%,7956,7149,807,13.91%,125,118,7,0.22%,2328,2195,133,4.07%,57213,53336,3877,69
2012-07,,,,26600,25098,1502,45.78%,8242,8128,114,14.19%,12638,11302,1336,21.75%,8076,7273,803,13.90%,135,129,6,0.23%,2410,2277,133,4.15%,58101,54207,3894,69
2012-08,,,,26568,25049,1519,46.03%,8197,8081,116,14.20%,12424,11103,1321,21.53%,8036,7236,800,13.92%,123,118,5,0.21%,2366,2225,141,4.10%,57714,53812,3902,69
2012-09,,,,26501,24981,1520,46.25%,8178,8062,116,14.27%,12242,10962,1280,21.37%,7911,7109,802,13.81%,122,117,5,0.21%,2340,2203,137,4.08%,57294,53434,3860,69
2012-10,,,,26640,25104,1536,46.33%,8279,8164,115,14.40%,12262,10960,1302,21.32%,8024,7217,807,13.95%,126,118,8,0.22%,2175,2041,134,3.78%,57506,53604,3902,69
2012-11,,,,26626,25088,1538,46.46%,8243,8128,115,14.38%,12201,10920,1281,21.29%,7807,7005,802,13.62%,121,112,9,0.21%,2306,2165,141,4.02%,57304,53418,3886,71
2012-12,,,,26593,25056,1537,46.67%,8264,8150,114,14.50%,12056,10796,1260,21.16%,7671,6877,794,13.46%,117,107,10,0.21%,2276,2138,138,3.99%,56977,53124,3853,71
2013-01,,,,26541,24994,1547,46.82%,8248,8132,116,14.55%,11989,10729,1260,21.15%,7572,6772,800,13.36%,114,103,11,0.20%,2219,2077,142,3.91%,56683,52807,3876,71
2013-02,,,,26444,24901,1543,46.95%,8248,8134,114,14.64%,11889,10642,1247,21.11%,7427,6638,789,13.19%,117,106,11,0.21%,2196,2056,140,3.90%,56321,52477,3844,71
2013-03,,,,26422,24890,1532,47.20%,8255,8142,113,14.75%,11724,10461,1263,20.94%,7297,6514,783,13.04%,118,104,14,0.21%,2161,2022,139,3.86%,55977,52133,3844,71
2013-04,,,,26436,24918,1518,47.44%,8303,8187,116,14.90%,11576,10331,1245,20.77%,7155,6384,771,12.84%,114,97,17,0.20%,2137,1996,141,3.84%,55721,51913,3808,71
2013-05,,,,26458,24943,1515,47.70%,8317,8200,117,14.99%,11416,10202,1214,20.58%,7016,6267,749,12.65%,113,95,18,0.20%,2150,2007,143,3.88%,55470,51714,3756,71
2013-06,,,,26339,24821,1518,47.94%,8317,8196,121,15.14%,11194,9999,1195,20.37%,6844,6103,741,12.46%,113,93,20,0.21%,2135,1999,136,3.89%,54942,51211,3731,71
2013-07,,,,26332,24817,1515,48.19%,8326,8202,124,15.24%,11003,9846,1157,20.14%,6741,6032,709,12.34%,107,88,19,0.20%,2128,1992,136,3.89%,54637,50977,3660,71
2013-08,,,,26317,24798,1519,48.38%,8340,8217,123,15.33%,10809,9687,1122,19.87%,6692,5991,701,12.30%,108,88,20,0.20%,2127,1996,131,3.91%,54393,50777,3616,71
2013-09,,,,26361,24838,1523,48.60%,8335,8214,121,15.37%,10673,9569,1104,19.68%,6625,5935,690,12.22%,113,92,21,0.21%,2129,1996,133,3.93%,54236,50644,3592,71
2013-10,,,,26414,24882,1532,48.77%,8343,8220,123,15.40%,10555,9467,1088,19.49%,6583,5895,688,12.15%,116,97,19,0.21%,2148,2011,137,3.97%,54159,50572,3587,71
2013-11,,,,26476,24926,1550,49.09%,8341,8217,124,15.47%,10378,9298,1080,19.24%,6508,5843,665,12.07%,113,95,18,0.21%,2114,1978,136,3.92%,53930,50357,3573,71
2013-12,,,,26445,24893,1552,49.13%,8330,8205,125,15.48%,10358,9268,1090,19.24%,6443,5779,664,11.97%,109,91,18,0.20%,2140,2003,137,3.98%,53825,50239,3586,71
2014-01,,,,26325,24786,1539,49.38%,8331,8207,124,15.63%,10054,9004,1050,18.86%,6393,5741,652,11.99%,104,84,20,0.20%,2106,1969,137,3.95%,53313,49791,3522,71
2014-02,,,,26143,24624,1519,49.59%,8337,8213,124,15.81%,9796,8781,1015,18.58%,6251,5606,645,11.86%,104,83,21,0.20%,2086,1951,135,3.96%,52717,49258,3459,71
2014-03,,,,26156,24635,1521,49.77%,8338,8213,125,15.86%,9658,8652,1006,18.38%,6196,5557,639,11.79%,105,86,19,0.20%,2103,1973,130,4.00%,52556,49116,3440,71
2014-04,,,,26272,24739,1533,49.98%,8363,8238,125,15.91%,9558,8559,999,18.18%,6165,5512,653,11.73%,103,85,18,0.20%,2102,1976,126,4.00%,52563,49109,3454,71
2014-05,,,,26345,24802,1543,49.75%,8363,8240,123,15.79%,10035,8981,1054,18.95%,6003,5382,621,11.34%,109,92,17,0.21%,2095,1955,140,3.96%,52950,49452,3498,71
2014-06,,,,26357,24833,1524,49.82%,8356,8234,122,15.79%,9981,8935,1046,18.87%,5971,5357,614,11.29%,109,93,16,0.21%,2132,1987,145,4.03%,52906,49439,3467,71
2014-08,,,,26484,24937,1547,49.86%,8378,8257,121,15.77%,10032,8979,1053,18.89%,5986,5345,641,11.27%,120,102,18,0.23%,2121,1967,154,3.99%,53121,49587,3534,71
2014-09,,,,26437,24901,1536,49.88%,8327,8203,124,15.71%,10000,8962,1038,18.87%,5975,5323,652,11.27%,122,106,16,0.23%,2136,1985,151,4.03%,52997,49480,3517,71
2014-10,,,,26482,24923,1559,49.78%,8378,8249,129,15.75%,10025,8978,1047,18.84%,6032,5382,650,11.34%,125,110,15,0.23%,2160,2004,156,4.06%,53202,49646,3556,55
2014-11,,,,26468,24923,1545,49.93%,8381,8254,127,15.81%,9936,8892,1044,18.74%,5976,5339,637,11.27%,125,111,14,0.24%,2123,1970,153,4.00%,53009,49489,3520,55
2014-12,,,,26055,24495,1560,49.00%,8342,8214,128,15.69%,10207,9159,1048,19.20%,6173,5540,633,11.61%,130,116,14,0.24%,2263,2110,153,4.26%,53170,49634,3536,54
2015-01,,,,26065,24502,1563,48.97%,8346,8216,130,15.68%,10218,9166,1052,19.20%,6205,5573,632,11.66%,129,115,14,0.24%,2260,2108,152,4.25%,53223,49680,3543,54
2015-02,,,,26090,24527,1563,48.99%,8366,8236,130,15.71%,10206,9162,1044,19.16%,6187,5550,637,11.62%,121,109,12,0.23%,2287,2132,155,4.29%,53257,49716,3541,54
2015-03,,,,26177,24600,1577,48.95%,8349,8221,128,15.61%,10247,9188,1059,19.16%,6244,5593,651,11.68%,118,106,12,0.22%,2343,2190,153,4.38%,53478,49898,3580,54
2015-04,,,,26126,24560,1566,48.89%,8370,8242,128,15.66%,10180,9136,1044,19.05%,6270,5618,652,11.73%,118,105,13,0.22%,2371,2220,151,4.44%,53435,49881,3554,55
2015-05,,,,26267,24697,1570,48.93%,8361,8233,128,15.57%,10248,9197,1051,19.09%,6322,5661,661,11.78%,117,105,12,0.22%,2371,2215,156,4.42%,53686,50108,3578,55
2015-06,,,,26332,24753,1579,48.95%,8359,8226,133,15.54%,10243,9179,1064,19.04%,6359,5689,670,11.82%,109,97,12,0.20%,2390,2231,159,4.44%,53792,50175,3617,56
2015-07,,,,26334,24768,1566,49.10%,8327,8196,131,15.53%,10147,9106,1041,18.92%,6339,5666,673,11.82%,101,88,13,0.19%,2381,2220,161,4.44%,53629,50044,3585,56
2015-08,,,,26780,25202,1578,50.11%,8350,8221,129,15.63%,9758,8719,1039,18.26%,6148,5469,679,11.50%,100,88,12,0.19%,2304,2140,164,4.31%,53440,49839,3601,56
2015-09,,,,26723,25141,1582,50.05%,8320,8192,128,15.58%,9644,8612,1032,18.06%,6345,5622,723,11.88%,108,95,13,0.20%,2251,2081,170,4.22%,53391,49743,3648,56
2015-10,,,,26823,25246,1577,50.24%,8316,8184,132,15.57%,9574,8557,1017,17.93%,6327,5612,715,11.85%,106,93,13,0.20%,2249,2078,171,4.21%,53395,49770,3625,56
2015-11,,,,26826,25243,1583,50.48%,8302,8168,134,15.62%,9476,8470,1006,17.83%,6205,5502,703,11.68%,110,97,13,0.21%,2227,2061,166,4.19%,53146,49541,3605,56
2015-12,,,,26825,25246,1579,50.59%,8308,8175,133,15.67%,9438,8430,1008,17.80%,6135,5445,690,11.57%,106,92,14,0.20%,2216,2054,162,4.18%,53028,49442,3586,56
2016-01,,,,26809,25236,1573,50.68%,8299,8168,131,15.69%,9362,8347,1015,17.70%,6091,5391,700,11.51%,111,98,13,0.21%,2225,2064,161,4.21%,52897,49304,3593,56
2016-02,,,,26874,25280,1594,50.61%,8326,8194,132,15.68%,9373,8354,1019,17.65%,6148,5434,714,11.58%,108,97,11,0.20%,2268,2097,171,4.27%,53097,49456,3641,56
2016-03,,,,27096,25479,1617,50.43%,8353,8221,132,15.55%,9543,8489,1054,17.76%,6259,5507,752,11.65%,115,104,11,0.21%,2365,2182,183,4.40%,53731,49982,3749,56
2016-04,,,,27151,25535,1616,50.60%,8357,8219,138,15.57%,9402,8351,1051,17.52%,6262,5492,770,11.67%,121,110,11,0.23%,2366,2184,182,4.41%,53659,49891,3768,57
2016-05,,,,27204,25579,1625,50.67%,8381,8245,136,15.61%,9342,8305,1037,17.40%,6256,5496,760,11.65%,123,112,11,0.23%,2381,2197,184,4.43%,53687,49934,3753,57
2016-06,,,,27323,25684,1639,50.65%,8376,8242,134,15.53%,9396,8357,1039,17.42%,6314,5544,770,11.70%,124,113,11,0.23%,2414,2234,180,4.47%,53947,50174,3773,57
2016-07,,,,27354,25725,1629,50.74%,8380,8247,133,15.54%,9336,8315,1021,17.32%,6290,5523,767,11.67%,122,111,11,0.23%,2433,2255,178,4.51%,53915,50176,3739,57
2016-08,,,,27412,25779,1633,50.75%,8358,8225,133,15.47%,9329,8307,1022,17.27%,6312,5540,772,11.69%,118,107,11,0.22%,2483,2304,179,4.60%,54012,50262,3750,57
2016-09,,,,27496,25871,1625,50.79%,8342,8210,132,15.41%,9329,8322,1007,17.23%,6333,5550,783,11.70%,116,103,13,0.21%,2518,2329,189,4.65%,54134,50385,3749,57
2016-10,,,,27654,26009,1645,50.82%,8358,8224,134,15.36%,9384,8343,1041,17.25%,6353,5570,783,11.68%,109,97,12,0.20%,2553,2356,197,4.69%,54411,50599,3812,57
2016-11,,,,27698,26047,1651,50.89%,8358,8223,135,15.36%,9362,8310,1052,17.20%,6333,5553,780,11.64%,108,98,10,0.20%,2565,2369,196,4.71%,54424,50600,3824,57
2016-12,,,,27705,26071,1634,51.08%,8352,8219,133,15.40%,9268,8236,1032,17.09%,6244,5472,772,11.51%,102,91,11,0.19%,2564,2371,193,4.73%,54235,50460,3775,57
2017-01,,,,27723,26094,1629,51.14%,8352,8221,131,15.41%,9245,8198,1047,17.05%,6208,5431,777,11.45%,102,90,12,0.19%,2584,2395,189,4.77%,54214,50429,3785,57
2017-02,,,,27751,26114,1637,51.27%,8349,8218,131,15.42%,9185,8150,1035,16.97%,6160,5395,765,11.38%,101,91,10,0.19%,2583,2393,190,4.77%,54129,50361,3768,57
2017-03,,,,27970,26313,1657,51.34%,8368,8240,128,15.36%,9231,8181,1050,16.95%,6182,5401,781,11.35%,103,92,11,0.19%,2621,2435,186,4.81%,54475,50662,3813,57
2017-04,,,,28005,26331,1674,51.45%,8377,8249,128,15.39%,9175,8152,1023,16.85%,6167,5379,788,11.33%,104,92,12,0.19%,2607,2422,185,4.79%,54435,50625,3810,57
2017-05,,,,28048,26374,1674,51.45%,8400,8270,130,15.41%,9133,8108,1025,16.75%,6190,5384,806,11.36%,109,97,12,0.20%,2632,2438,194,4.83%,54512,50671,3841,57
