report,white_male_pop,white_female_pop,white_pop,black_male_pop,black_female_pop,black_pop,asian_male_pop,asian_female_pop,asian_pop,indian_male_pop,indian_female_pop,indian_pop,hispanic_male_pop,hispanic_female_pop,hispanic_pop,native_american_male_pop,native_american_female_pop,native_american_pop,native_hawaiian_male_pop,native_hawaiian_female_pop,native_hawaiian_pop,race_unknown_male_pop,race_unknown_female_pop,race_unknown_pop,race_other_male_pop,race_other_female_pop,race_other_pop,race_not_reported_male_pop,race_not_reported_female_pop,race_not_reported_pop,race_reported_male_pop,race_reported_female_pop,race_reported
2011-04,15648,1858,17506,31067,1612,32679,118,3,121,,,,2194,75,2269,27,4,31,0,1,1,,,,48,4,52,0,0,0,49102,3557,52659
2011-05,15659,1869,17528,31135,1630,32765,119,3,122,,,,2222,76,2298,29,4,33,0,1,1,,,,49,4,53,0,0,0,49213,3587,52800
2011-06,15868,1884,17752,31454,1615,33069,124,3,127,,,,2229,77,2306,27,5,32,0,1,1,,,,49,5,54,0,0,0,49751,3590,53341
2011-07,15823,1969,17792,31356,1659,33015,125,4,129,,,,2252,78,2330,26,5,31,0,1,1,,,,47,6,53,0,0,0,49629,3722,53351
2011-08,16235,1998,18233,32402,1689,34091,127,4,131,,,,2330,82,2412,26,5,31,0,1,1,,,,48,6,54,0,0,0,51168,3785,54953
2011-09,16310,1956,18266,32522,1658,34180,129,5,134,,,,2344,82,2426,26,5,31,0,1,1,,,,48,6,54,0,0,0,51379,3713,55092
2011-10,16451,1967,18418,32655,1680,34335,132,5,137,,,,2324,78,2402,26,5,31,0,1,1,1,0,1,48,7,55,0,0,0,51637,3743,55380
2011-11,16329,1983,18312,32453,1662,34115,129,5,134,,,,2349,78,2427,26,5,31,0,1,1,2,0,2,45,8,53,0,0,0,51333,3742,55075
2011-12,16386,1957,18343,32469,1649,34118,124,5,129,,,,2298,79,2377,26,5,31,0,1,1,2,0,2,48,8,56,0,0,0,51353,3704,55057
2012-01,16360,1959,18319,32299,1658,33957,128,5,133,,,,2326,81,2407,25,5,30,0,1,1,2,0,2,47,8,55,0,0,0,51187,3717,54904
2012-02,16607,1998,18605,32768,1688,34456,133,6,139,,,,2363,84,2447,24,5,29,0,1,1,2,0,2,46,7,53,0,0,0,51943,3789,55732
2012-03,16848,2053,18901,33266,1742,35008,145,6,151,,,,2358,82,2440,25,5,30,0,1,1,3,0,3,49,7,56,0,0,0,52694,3896,56590
2012-04,16990,2060,19050,33386,1745,35131,149,6,155,,,,2402,86,2488,24,5,29,0,1,1,2,0,2,49,9,58,0,0,0,53002,3912,56914
2012-05,17146,2069,19215,33550,1754,35304,147,6,153,,,,2449,83,2532,25,5,30,0,1,1,4,0,4,46,10,56,0,0,0,53367,3928,57295
2012-06,17264,2056,19320,33789,1738,35527,150,5,155,,,,2396,79,2475,28,5,33,0,1,1,3,0,3,47,9,56,0,0,0,53677,3893,57570
2012-07,17589,2077,19666,34286,1738,36024,156,5,161,,,,2448,76,2524,27,5,32,0,1,1,3,0,3,47,8,55,0,0,0,54556,3910,58466
2012-08,17458,2086,19544,33930,1728,35658,154,9,163,,,,2463,82,2545,27,5,32,0,1,1,1,0,1,49,9,58,0,0,0,54082,3920,58002
2012-09,17315,2071,19386,33773,1709,35482,145,9,154,,,,2387,77,2464,27,3,30,0,1,1,1,0,1,48,8,56,0,0,0,53696,3878,57574
2012-10,17357,2094,19451,33793,1716,35509,148,10,158,,,,2396,81,2477,29,3,32,0,1,1,1,0,1,51,8,59,0,0,0,53775,3913,57688
2012-11,17337,2091,19428,33685,1715,35400,151,10,161,,,,2409,80,2489,29,2,31,,,,1,0,1,49,7,56,0,0,0,53661,3905,57566
2012-12,17234,2080,19314,33542,1697,35239,151,10,161,,,,2367,76,2443,30,2,32,,,,1,0,1,48,6,54,0,0,0,53373,3871,57244
2013-01,17102,2088,19190,33347,1711,35058,149,10,159,,,,2378,75,2453,31,2,33,,,,2,0,2,49,7,56,0,0,0,53058,3893,56951
2013-02,17029,2068,19097,33079,1703,34782,151,9,160,,,,2385,74,2459,31,2,33,,,,1,0,1,51,7,58,0,0,0,52727,3863,56590
2013-03,16932,2082,19014,32900,1692,34592,148,9,157,,,,2324,70,2394,31,3,34,,,,1,0,1,48,6,54,0,0,0,52384,3862,56246
2013-04,16835,2058,18893,32749,1680,34429,154,9,163,,,,2347,69,2416,29,3,32,,,,2,1,3,45,6,51,0,0,0,52161,3826,55987
2013-05,16756,2033,18789,32631,1648,34279,155,11,166,,,,2355,72,2427,29,3,32,,,,2,0,2,43,9,52,0,0,0,51971,3776,55747
2013-06,16581,2041,18622,32407,1615,34022,154,11,165,,,,2282,71,2353,28,4,32,,,,2,0,2,40,9,49,0,0,0,51494,3751,55245
2013-07,16481,1986,18467,32259,1602,33861,147,11,158,,,,2312,68,2380,29,4,33,,,,2,0,2,39,9,48,0,0,0,51269,3680,54949
2013-08,16427,1974,18401,32114,1570,33684,147,12,159,,,,2325,65,2390,26,5,31,,,,2,0,2,38,9,47,0,0,0,51079,3635,54714
2013-09,16450,1959,18409,32049,1562,33611,136,15,151,,,,2271,64,2335,25,4,29,,,,1,0,1,37,8,45,0,0,0,50969,3612,54581
2013-10,16395,1938,18333,32043,1581,33624,137,14,151,,,,2281,62,2343,24,4,28,,,,1,1,2,36,9,45,0,0,0,50917,3609,54526
2013-11,16331,1937,18268,31922,1567,33489,140,14,154,,,,2275,64,2339,22,4,26,,,,1,1,2,36,9,45,0,0,0,50727,3596,54323
2013-12,16356,1941,18297,31860,1577,33437,139,13,152,,,,2209,63,2272,22,4,26,,,,2,1,3,36,11,47,0,0,0,50624,3610,54234
2014-01,16225,1916,18141,31552,1545,33097,141,12,153,,,,2203,64,2267,23,4,27,,,,2,1,3,40,9,49,0,0,0,50186,3551,53737
2014-02,16016,1896,17912,31215,1513,32728,145,12,157,,,,2214,61,2275,25,2,27,,,,2,1,3,38,6,44,0,0,0,49655,3491,53146
2014-03,15976,1897,17873,31157,1504,32661,144,12,156,,,,2181,54,2235,25,2,27,,,,2,1,3,39,6,45,0,0,0,49524,3476,53000
2014-04,16001,1913,17914,31112,1503,32615,146,11,157,,,,2205,57,2262,24,2,26,,,,2,1,3,37,6,43,0,0,0,49527,3493,53020
2014-05,16022,1919,17941,31193,1511,32704,156,11,167,,,,2229,57,2286,25,2,27,,,,2,1,3,38,6,44,0,0,0,49665,3507,53172
2014-06,16045,1899,17944,31194,1503,32697,160,10,170,,,,2188,55,2243,25,1,26,,,,4,1,5,39,7,46,0,0,0,49655,3476,53131
2014-08,16012,1929,17941,31209,1533,32742,161,11,172,,,,2207,54,2261,25,1,26,,,,6,0,6,42,7,49,0,0,0,49662,3535,53197
2014-09,16043,1919,17962,31134,1526,32660,157,11,168,,,,2147,54,2201,26,1,27,1,0,1,5,0,5,43,7,50,0,0,0,49556,3518,53074
2014-10,16149,1935,18084,31203,1546,32749,163,11,174,,,,2135,57,2192,24,1,25,1,0,1,5,0,5,42,7,49,0,0,0,49722,3557,53279
2014-11,16098,1919,18017,31099,1524,32623,162,13,175,,,,2130,57,2187,24,1,25,1,0,1,6,0,6,45,7,52,0,0,0,49565,3521,53086
2014-12,16188,1932,18120,31189,1525,32714,162,15,177,,,,2103,58,2161,25,1,26,1,0,1,3,0,3,45,6,51,0,0,0,49716,3537,53253
2015-01,16223,1942,18165,31207,1521,32728,163,15,178,,,,2098,59,2157,25,1,26,1,0,1,3,0,3,44,6,50,0,0,0,49764,3544,53308
2015-02,16226,1947,18173,31238,1515,32753,163,14,177,,,,2093,58,2151,25,1,26,1,0,1,4,0,4,41,6,47,0,0,0,49791,3541,53332
2015-03,16317,1980,18297,31353,1524,32877,165,14,179,,,,2065,56,2121,29,1,30,1,0,1,6,0,6,41,6,47,0,0,0,49977,3581,53558
2015-04,16338,1964,18302,31316,1512,32828,162,15,177,,,,2068,55,2123,26,2,28,1,0,1,6,0,6,40,6,46,0,0,0,49957,3554,53511
2015-05,16453,1988,18441,31409,1511,32920,162,13,175,,,,2080,57,2137,27,1,28,1,0,1,8,1,9,42,7,49,0,0,0,50182,3578,53760
2015-06,16505,2013,18518,31463,1525,32988,162,13,175,,,,2044,57,2101,26,1,27,1,0,1,8,1,9,44,7,51,0,0,0,50253,3617,53870
2015-07,16477,2004,18481,31358,1503,32861,163,12,175,,,,2041,57,2098,26,1,27,1,0,1,9,1,10,46,7,53,0,0,0,50121,3585,53706
2015-08,16459,2022,18481,31205,1502,32707,161,12,173,,,,2031,56,2087,27,1,28,1,0,1,7,1,8,45,7,52,0,0,0,49936,3601,53537
2015-09,16409,2062,18471,31178,1513,32691,160,12,172,,,,1990,53,2043,26,1,27,1,0,1,7,1,8,48,6,54,0,0,0,49819,3648,53467
2015-10,16500,2048,18548,31112,1504,32616,161,12,173,,,,1990,53,2043,25,1,26,1,0,1,6,1,7,51,6,57,0,0,0,49846,3625,53471
2015-11,16463,2029,18492,30925,1507,32432,163,11,174,,,,1985,52,2037,24,1,25,1,0,1,5,1,6,49,4,53,0,0,0,49615,3605,53220
2015-12,16479,2016,18495,30840,1503,32343,160,11,171,,,,1958,50,2008,22,1,23,1,0,1,7,1,8,49,4,53,0,0,0,49516,3586,53102
2016-01,16375,2030,18405,30808,1491,32299,160,12,172,,,,1959,54,2013,22,1,23,1,0,1,7,1,8,47,4,51,0,0,0,49379,3593,52972
2016-02,16486,2071,18557,30828,1498,32326,160,11,171,,,,1977,56,2033,21,1,22,,,,9,1,10,49,4,53,0,0,0,49530,3642,53172
2016-03,16724,2152,18876,31158,1526,32684,161,10,171,,,,1943,57,2000,21,1,22,,,,9,1,10,46,3,49,0,0,0,50062,3750,53812
2016-04,16715,2152,18867,31062,1541,32603,159,11,170,,,,1950,58,2008,22,1,23,,,,8,1,9,51,4,55,0,0,0,49967,3768,53735
2016-05,16685,2149,18834,31114,1534,32648,160,9,169,,,,1967,55,2022,24,1,25,,,,8,1,9,51,4,55,0,0,0,50009,3753,53762
2016-06,16730,2152,18882,31327,1556,32883,161,9,170,,,,1949,50,1999,24,1,25,,,,8,1,9,53,5,58,0,0,0,50252,3774,54026
2016-07,16666,2128,18794,31363,1544,32907,169,9,178,,,,1964,50,2014,26,1,27,,,,10,2,12,54,5,59,0,0,0,50252,3739,53991
2016-08,16701,2130,18831,31415,1553,32968,172,10,182,,,,1964,49,2013,25,1,26,,,,9,2,11,55,5,60,0,0,0,50341,3750,54091
2016-09,16764,2153,18917,31481,1531,33012,177,10,187,,,,1952,48,2000,26,1,27,,,,11,1,12,58,5,63,0,0,0,50469,3749,54218
2016-10,16929,2205,19134,31517,1540,33057,180,12,192,,,,1959,47,2006,26,2,28,,,,9,1,10,57,5,62,0,0,0,50677,3812,54489
2016-11,16976,2204,19180,31477,1553,33030,177,12,189,,,,1960,46,2006,25,2,27,1,0,1,8,1,9,57,6,63,0,0,0,50681,3824,54505
2016-12,16898,2176,19074,31465,1534,32999,172,10,182,,,,1917,47,1964,26,2,28,1,0,1,7,1,8,56,5,61,0,0,0,50542,3775,54317
2017-01,16915,2194,19109,31397,1526,32923,172,8,180,,,,1934,48,1982,27,2,29,1,0,1,8,1,9,56,6,62,0,0,0,50510,3785,54295
2017-02,16896,2175,19071,31336,1526,32862,173,8,181,,,,1940,48,1988,27,2,29,1,0,1,8,1,9,57,8,65,0,0,0,50438,3768,54206
2017-03,17060,2193,19253,31485,1552,33037,175,9,184,,,,1926,49,1975,24,1,25,1,0,1,9,1,10,60,8,68,0,0,0,50740,3813,54553
2017-04,17059,2191,19250,31428,1548,32976,176,9,185,,,,1942,53,1995,23,1,24,2,0,2,10,1,11,60,7,67,0,0,0,50700,3810,54510
2017-05,17118,2221,19339,31389,1546,32935,183,10,193,,,,1965,55,2020,24,1,25,2,0,2,9,1,10,59,7,66,0,0,0,50749,3841,54590
2017-06,17257,2218,19475,31503,1552,33055,184,10,194,,,,1968,52,2020,22,1,23,2,0,2,9,2,11,60,7,67,0,0,0,51005,3842,54847
2017-07,17254,2226,19480,31378,1546,32924,181,9,190,,,,1968,52,2020,22,1,23,2,0,2,8,2,10,59,7,66,0,0,0,50872,3843,54715
2017-08,17224,2225,19449,31265,1537,32802,181,9,190,,,,1976,51,2027,21,2,23,1,0,1,8,3,11,58,8,66,0,0,0,50734,3835,54569
2017-09,17196,2211,19407,31227,1547,32774,178,9,187,,,,1945,52,1997,24,2,26,1,0,1,9,3,12,59,7,66,0,0,0,50639,3831,54470
2017-10,17181,2225,19406,31146,1534,32680,177,9,186,,,,1948,54,2002,24,1,25,1,0,1,10,3,13,59,8,67,0,0,0,50546,3834,54380
2017-11,17241,2223,19464,31221,1522,32743,175,9,184,,,,1953,53,2006,25,1,26,1,0,1,11,3,14,61,8,69,0,0,0,50688,3819,54507
2017-12,17302,2220,19522,31211,1514,32725,174,9,183,,,,1941,54,1995,23,1,24,1,0,1,11,3,14,56,7,63,0,0,0,50719,3808,54527
2018-01,17136,2196,19332,31020,1520,32540,175,7,182,,,,1938,53,1991,22,1,23,1,0,1,12,3,15,55,7,62,0,0,0,50359,3787,54146
2018-02,17157,2220,19377,31056,1528,32584,176,7,183,,,,1960,56,2016,22,1,23,1,0,1,10,3,13,54,6,60,0,0,0,50436,3821,54257
2018-03,17375,2293,19668,31316,1547,32863,180,6,186,,,,1979,55,2034,23,0,23,1,0,1,10,3,13,53,6,59,0,0,0,50937,3910,54847
2018-04,17365,2285,19650,31258,1564,32822,177,7,184,,,,2004,55,2059,24,1,25,1,0,1,11,2,13,54,7,61,0,0,0,50894,3921,54815
2018-05,17447,2315,19762,31335,1552,32887,180,10,190,,,,2028,62,2090,24,0,24,1,0,1,9,2,11,55,6,61,0,0,0,51079,3947,55026
2018-06,17421,2307,19728,31361,1550,32911,177,11,188,,,,2026,63,2089,25,1,26,1,0,1,8,2,10,55,6,61,0,0,0,51074,3940,55014
2018-07,17361,2295,19656,31273,1551,32824,179,10,189,,,,2024,64,2088,26,1,27,1,0,1,10,2,12,57,6,63,0,0,0,50931,3929,54860
2018-08,17302,2303,19605,31213,1547,32760,176,10,186,,,,2047,62,2109,25,1,26,1,0,1,12,2,14,57,6,63,0,0,0,50833,3931,54764
2018-09,17330,2299,19629,31203,1540,32743,176,10,186,,,,2045,62,2107,24,1,25,1,0,1,11,2,13,55,6,61,0,0,0,50845,3920,54765
2018-10,17394,2297,19691,31217,1540,32757,178,12,190,,,,2062,59,2121,22,1,23,1,0,1,13,2,15,56,6,62,0,0,0,50943,3917,54860
2018-11,17396,2301,19697,31204,1551,32755,178,12,190,,,,2076,61,2137,24,1,25,1,0,1,14,1,15,55,6,61,0,0,0,50948,3933,54881
2018-12,17418,2308,19726,31191,1544,32735,174,12,186,,,,2062,62,2124,22,1,23,1,0,1,14,1,15,55,5,60,0,0,0,50937,3933,54870
2019-01,17334,2293,19627,31139,1535,32674,173,12,185,,,,2058,64,2122,20,1,21,1,0,1,14,1,15,53,6,59,0,0,0,50792,3912,54704
2019-02,17374,2317,19691,31219,1542,32761,173,11,184,,,,2045,61,2106,21,1,22,,,,16,1,17,53,6,59,0,0,0,50901,3939,54840
2019-03,17422,2338,19760,31328,1532,32860,176,12,188,,,,2039,60,2099,20,1,21,,,,15,0,15,54,6,60,0,0,0,51054,3949,55003
2019-04,17451,2336,19787,31343,1525,32868,172,11,183,,,,2053,61,2114,21,1,22,,,,15,0,15,54,7,61,0,0,0,51109,3941,55050
2019-05,17507,2364,19871,31290,1538,32828,177,10,187,,,,2058,63,2121,21,1,22,,,,15,0,15,56,7,63,0,0,0,51124,3983,55107
2019-06,17519,2358,19877,31241,1535,32776,176,10,186,,,,2040,66,2106,21,1,22,1,0,1,15,0,15,57,7,64,0,0,0,51070,3977,55047
2019-07,17592,2365,19957,31367,1536,32903,179,10,189,,,,2023,69,2092,23,1,24,1,0,1,15,0,15,58,7,65,0,0,0,51258,3988,55246
2019-08,17497,2390,19887,31258,1551,32809,179,10,189,,,,2037,69,2106,24,1,25,1,0,1,15,0,15,58,6,64,0,0,0,51069,4027,55096
2019-09,17690,2391,20081,31357,1553,32910,181,9,190,,,,2050,63,2113,24,1,25,1,0,1,16,0,16,57,7,64,0,0,0,51376,4024,55400
2019-10,17728,2402,20130,31499,1577,33076,179,8,187,,,,2074,61,2135,25,1,26,1,0,1,18,0,18,58,7,65,0,0,0,51582,4056,55638
2019-11,17823,2403,20226,31591,1579,33170,179,8,187,,,,2082,64,2146,25,0,25,1,0,1,15,0,15,57,7,64,0,0,0,51773,4061,55834
2019-12,17728,2377,20105,31456,1580,33036,178,8,186,,,,2061,65,2126,25,0,25,1,0,1,14,0,14,56,7,63,0,0,0,51519,4037,55556
2020-01,17588,2355,19943,31357,1560,32917,180,10,190,,,,2071,64,2135,28,0,28,,,,2,0,2,2,1,3,0,0,0,51228,3990,55218
2020-02,17586,2331,19917,31381,1552,32933,183,9,192,,,,2081,63,2144,29,0,29,,,,2,0,2,2,2,4,0,0,0,51264,3957,55221
2020-03,17538,2303,19841,31282,1545,32827,183,9,192,,,,2072,58,2130,28,0,28,,,,2,0,2,3,2,5,0,0,0,51108,3917,55025
2020-04,17097,2176,19273,30577,1484,32061,175,9,184,,,,2043,56,2099,25,0,25,,,,1,1,2,3,1,4,0,0,0,49921,3727,53648
2020-05,16498,2021,18519,29803,1406,31209,165,8,173,,,,2001,54,2055,24,0,24,,,,1,0,1,4,1,5,0,0,0,48496,3490,51986
2020-06,16254,1997,18251,29359,1387,30746,160,7,167,,,,1972,54,2026,24,0,24,,,,,,,4,1,5,0,0,0,47773,3446,51219
2020-07,16013,1958,17971,28907,1368,30275,159,7,166,,,,1955,54,2009,25,1,26,,,,,,,4,1,5,0,0,0,47063,3389,50452
2020-08,15824,1933,17757,28580,1336,29916,158,8,166,,,,1934,51,1985,25,1,26,,,,,,,3,1,4,0,0,0,46524,3330,49854
2020-09,15679,1914,17593,28299,1317,29616,158,8,166,,,,1917,50,1967,24,1,25,,,,,,,3,1,4,0,0,0,46080,3291,49371
2020-10,15361,1848,17209,27812,1283,29095,155,8,163,,,,1890,50,1940,24,1,25,,,,1,0,1,4,2,6,0,0,0,45247,3192,48439
